"ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_1415","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_1417","Eukaryota","unknown","Labyrinthulomycetes","unknown","Thraustochytriaceae","g_","s_"
"ASV_1421","Eukaryota","unknown","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"ASV_1422","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_1423","Eukaryota","unknown","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"ASV_1424","Eukaryota","unknown","unknown","unknown","unknown","Incisomonas","s_"
"ASV_1430","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_1432","Eukaryota","unknown","Labyrinthulomycetes","unknown","Thraustochytriaceae","unassigned","unassigned"
"ASV_1433","Eukaryota","unknown","Dinophyceae","unassigned","unassigned","g_","s_"
"ASV_1438","Eukaryota","unknown","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","s_"
"ASV_1439","Eukaryota","unknown","Synurophyceae","Ochromonadales","Ochromonadaceae","g_","s_"
"ASV_1440","Eukaryota","unknown","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"ASV_1442","Eukaryota","unknown","unknown","unknown","unknown","unknown","s_"
"ASV_1444","Eukaryota","unknown","Dinophyceae","Thoracosphaerales","Thoracosphaeraceae","unassigned","unassigned"
"ASV_1445","Eukaryota","unknown","Diplonemea","Diplonemea","unknown","g_","s_"
"ASV_1447","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_1448","Eukaryota","Streptophyta","Charophyceae","Charales","Characeae","g_","s_"
"ASV_1449","Eukaryota","unknown","unknown","unknown","unknown","g_","s_"
"ASV_1452","Eukaryota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned"
"ASV_1454","Eukaryota","unknown","Dinophyceae","Syndiniales","unassigned","unassigned","unassigned"
"ASV_1455","Eukaryota","unknown","Dinophyceae","Thoracosphaerales","Thoracosphaeraceae","unassigned","unassigned"
"ASV_1457","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","s_"
"ASV_1458","Eukaryota","unknown","Diplonemea","Diplonemea","unknown","unknown","Diplonemida sp. 21sb RG-2016"
"ASV_1464","Eukaryota","unknown","unknown","unknown","unknown","unknown","uncultured marine eukaryote"
"ASV_1467","Eukaryota","unknown","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","unassigned"
"ASV_1469","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_1470","Eukaryota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned"
"ASV_1471","Eukaryota","unknown","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","s_"
"ASV_1472","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","unassigned"
"ASV_1475","Eukaryota","unknown","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"ASV_1485","Eukaryota","Cercozoa","unknown","Thaumatomonadida","unassigned","g_","s_"
"ASV_1486","Eukaryota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned"
"ASV_1488","Eukaryota","unknown","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"ASV_1496","Eukaryota","Chlorophyta","unknown","Pyramimonadales","unknown","Pterosperma","Pterosperma cristatum"
"ASV_1497","Eukaryota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned"
"ASV_1502","Eukaryota","unknown","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"ASV_1503","Eukaryota","unknown","Dinophyceae","Syndiniales","unassigned","unassigned","unassigned"
"ASV_1507","Eukaryota","unknown","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"ASV_1508","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Coscinodiscales","Coscinodiscaceae","Planktoniella","Planktoniella sol"
"ASV_1510","Eukaryota","unknown","unknown","unknown","unknown","g_","s_"
"ASV_1514","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_1515","Eukaryota","unknown","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Alexandrium","unassigned"
"ASV_1518","Eukaryota","Annelida","Polychaeta","Capitellida","Capitellidae","g_","s_"
"ASV_1521","Eukaryota","unknown","Oomycetes","Lagenidiales","Haliphthoraceae","Haliphthoros","s_"
"ASV_1522","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros curvisetus"
"ASV_1523","Eukaryota","Ciliophora","Oligohymenophorea","Philasterida","Cinetochilidae","g_","s_"
"ASV_1524","Eukaryota","unassigned","unassigned","unassigned","unassigned","g_","s_"
"ASV_1528","Eukaryota","unknown","unknown","unknown","unknown","g_","s_"
