#OTUID	KOSMOS.D1.M1BS	KOSMOS.D1.MPBS	KOSMOS.D15.M1AS	KOSMOS.D15.MPAS	KOSMOS.D24.M1A	KOSMOS.D24.MPAS	KOSMOS.D32.M1AS	KOSMOS.D32.MPAS	KOSMOS.D36.M1AS	KOSMOS.D36.MPAS	KOSMOS.D42.M1AS	KOSMOS.D42.MPAS	KOSMOS.D48.M1AS	KOSMOS.D48.MPAS	KOSMOS.D8.M1AS	KOSMOS.D8.MPAS
D_3__Rhodobacterales_D_4__Rhodobacteraceae$89c968deaad98820d7c2912103276151	351	331	70	553	0	574	45	348	17	43	4	417	0	235	47	167
D_3__Flavobacteriales_D_4__Flavobacteriaceae$629b14176131f1cd9c3425df5a1da0fe	100	76	132	136	0	3326	0	672	0	211	0	440	0	293	2378	286
D_3__Cellvibrionales_D_4__Halieaceae$82b64eb463c416cabd5ceae001244f43	728	690	461	583	1090	465	342	418	336	577	126	444	176	459	551	469
D_3__Oceanospirillales_D_4__Saccharospirillaceae$23383d3a96f4263752a17b18fec7b9ce	6	0	28	0	0	0	0	0	0	0	0	0	0	0	10	0
D_3__Cellvibrionales_D_4__Halieaceae$29fbc691efd3ed11573ce7291b256b4e	477	395	999	320	1393	379	403	561	273	493	229	327	306	311	685	285
D_3__Rhodobacterales_D_4__Rhodobacteraceae$a87b8d73c992d61960e160ec1b9ed261	0	0	123	18	40	2063	438	575	288	565	35	760	0	42	86	0
D_3__Flavobacteriales_D_4__Cryomorphaceae$5dd28e1253d3111f59844bae2830ac3e	370	370	506	221	140	236	106	88	393	590	690	544	38	261	2937	278
D_3__Flavobacteriales_D_4__Flavobacteriaceae$6bd9d5deb2014adf55d559bf8cbca7dc	272	365	429	151	2632	470	223	487	145	236	33	327	749	140	35	839
D_3__Flavobacteriales_D_4__Cryomorphaceae$36522fe19dce1958c687ffe1938c78b1	774	1018	257	352	0	168	0	32	0	364	0	212	0	76	3926	488
D_3__Actinomarinales_D_4__Actinomarinaceae$b72553aee1c38b784807621995124694	1180	793	229	1332	439	474	159	546	51	602	16	262	16	233	34	936
