sampling.day,mesocosm,value,parameter
15,5,0.34,TPP
16,5,0.28,TPP
17,5,0.42,TPP
18,5,0.31,TPP
20,5,0.28,TPP
22,5,0.39,TPP
24,5,0.37,TPP
26,5,0.43,TPP
28,5,0.43,TPP
30,5,0.43,TPP
32,5,0.43,TPP
34,5,0.39,TPP
36,5,0.43,TPP
38,5,0.46,TPP
40,5,0.55,TPP
42,5,0.46,TPP
44,5,0.57,TPP
46,5,0.61,TPP
48,5,0.67,TPP
50,5,0.94,TPP
1,6,0.56,TPP
2,6,0.62,TPP
3,6,0.61,TPP
4,6,0.52,TPP
6,6,0.75,TPP
8,6,0.36,TPP
10,6,0.32,TPP
12,6,0.36,TPP
14,6,0.41,TPP
15,6,0.31,TPP
16,6,0.32,TPP
17,6,0.37,TPP
18,6,0.25,TPP
20,6,0.28,TPP
22,6,0.38,TPP
24,6,0.46,TPP
26,6,0.48,TPP
28,6,0.54,TPP
30,6,0.53,TPP
32,6,0.39,TPP
34,6,0.45,TPP
36,6,0.5,TPP
38,6,0.38,TPP
40,6,0.46,TPP
42,6,0.45,TPP
44,6,0.55,TPP
46,6,0.51,TPP
48,6,0.53,TPP
50,6,0.73,TPP
1,7,0.49,TPP
2,7,0.73,TPP
3,7,0.67,TPP
4,7,0.67,TPP
6,7,0.53,TPP
8,7,0.49,TPP
10,7,0.51,TPP
12,7,0.32,TPP
14,7,0.41,TPP
15,7,0.35,TPP
16,7,0.17,TPP
17,7,0.33,TPP
18,7,0.36,TPP
20,7,0.29,TPP
22,7,0.39,TPP
24,7,0.65,TPP
26,7,0.58,TPP
28,7,0.54,TPP
30,7,0.5,TPP
32,7,0.47,TPP
34,7,0.5,TPP
36,7,0.61,TPP
38,7,0.62,TPP
40,7,0.65,TPP
42,7,0.66,TPP
44,7,0.59,TPP
46,7,0.63,TPP
48,7,0.74,TPP
50,7,0.88,TPP
1,8,0.5,TPP
2,8,0.65,TPP
3,8,0.6,TPP
4,8,0.65,TPP
6,8,0.6,TPP
8,8,0.51,TPP
10,8,0.42,TPP
12,8,0.28,TPP
14,8,0.4,TPP
15,8,0.28,TPP
16,8,0.26,TPP
17,8,0.27,TPP
18,8,0.27,TPP
20,8,0.26,TPP
22,8,0.52,TPP
24,8,0.43,TPP
26,8,0.4,TPP
28,8,0.5,TPP
30,8,0.43,TPP
32,8,0.47,TPP
34,8,0.42,TPP
36,8,0.46,TPP
38,8,0.49,TPP
40,8,0.58,TPP
42,8,0.62,TPP
44,8,0.66,TPP
46,8,0.76,TPP
48,8,0.65,TPP
50,8,0.88,TPP
3,10,0.64,TPP
4,10,0.57,TPP
6,10,0.59,TPP
8,10,0.38,TPP
10,10,0.66,TPP
12,10,0.57,TPP
14,10,0.58,TPP
16,10,0.65,TPP
18,10,0.6,TPP
20,10,0.52,TPP
22,10,0.67,TPP
24,10,0.53,TPP
26,10,0.37,TPP
28,10,0.46,TPP
30,10,0.77,TPP
32,10,0.28,TPP
34,10,0.27,TPP
36,10,0.47,TPP
38,10,0.23,TPP
40,10,0.3,TPP
42,10,0.38,TPP
44,10,0.39,TPP
46,10,0.42,TPP
48,10,0.48,TPP
50,10,0.48,TPP
1,1,2.68,BSi
2,1,3.54,BSi
3,1,4.43,BSi
4,1,3.89,BSi
6,1,2.88,BSi
8,1,3.73,BSi
12,1,2.35,BSi
13,1,1.65,BSi
14,1,1.66,BSi
15,1,1.48,BSi
16,1,1.28,BSi
17,1,1.22,BSi
18,1,1.46,BSi
20,1,1.6,BSi
22,1,1.22,BSi
24,1,0.5,BSi
26,1,0.8,BSi
28,1,0.3,BSi
30,1,0.59,BSi
32,1,0.99,BSi
34,1,0.52,BSi
36,1,1.81,BSi
38,1,0.7,BSi
40,1,0.43,BSi
42,1,1.91,BSi
44,1,1.3,BSi
46,1,1.76,BSi
48,1,1.31,BSi
50,1,1.79,BSi
1,2,2.59,BSi
2,2,3.14,BSi
3,2,3.51,BSi
4,2,5.12,BSi
6,2,3.42,BSi
