#OTUID	KOSMOSD15_M1AS_X	KOSMOSD15_MPAS_X	KOSMOSD1_M1BS_X	KOSMOSD1_MPBS_X	KOSMOSD24_M1AS_X	KOSMOSD24_MPAS_X	KOSMOSD32_M1AS_X	KOSMOSD32_MPAS_X	KOSMOSD36_M1AS_X	KOSMOSD36_MPAS_X	KOSMOSD42_M1AS_X	KOSMOSD42_MPAS_X	KOSMOSD48_M1AS_X	KOSMOSD48_MPAS_X	KOSMOSD8_M1AS_X	KOSMOSD8_MPAS_X
ASV_2111	0	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0
ASV_2116	1120	3	10	12	277	35	37	12	252	0	37	6	104	15	2	8
ASV_2136	10	60	31	32	17	19	1	4	8	9	1	11	0	20	2	48
ASV_2274	0	7	0	1	0	0	0	10	0	3	0	6	0	9	0	1
ASV_2305	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
ASV_2367	0	0	4	2	0	4	0	1	0	0	0	0	0	0	1	0
ASV_2385	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2477	49	4	56	29	649	6	20	3	22	1	1	3	0	1	1	2
ASV_2584	0	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0
ASV_2621	2	0	2	0	52	0	2	0	34	0	0	0	0	0	0	5
ASV_2708	2	0	0	2	31	0	0	0	3	0	0	0	0	0	0	0
ASV_2747	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2896	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
ASV_2919	0	28	266	80	0	4	0	39	0	3	0	1	0	36	0	99
ASV_2975	1076	310	438	1091	5423	178	3513	1133	13925	370	16595	328	5822	337	46	324
ASV_3003	0	1	1	0	3	0	0	3	0	0	0	10	0	20	1	0
ASV_3247	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3283	45	1287	474	309	5	339	0	443	26	424	31	211	18338	271	0	78
ASV_3322	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_3352	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ASV_3374	0	3	2	51	0	5	0	5	0	0	0	0	0	1	0	45
ASV_3383	2	3	3	0	2	0	0	1	0	5	0	19	0	13	2	5
ASV_3490	0	0	1	0	4	0	0	0	8	0	0	0	1	1	0	0
ASV_3565	0	0	0	0	10	0	2	3	4	0	0	0	3	0	0	0
ASV_3667	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0
ASV_3699	0	0	0	0	0	0	0	9	0	2	0	0	0	9	0	0
ASV_3708	2	0	2	2	16	0	1	1	0	0	0	0	0	0	0	0
ASV_3720	0	0	5	7	21	0	0	0	1	0	2	7	0	3	0	3
ASV_3837	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0
ASV_3849	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ASV_3894	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_4292	7	0	0	0	0	0	0	0	3	0	0	0	0	2	0	1
ASV_4310	1	2	0	2	0	0	0	0	0	0	0	0	0	2	1	3
ASV_4646	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4714	0	0	0	0	13	0	2	0	0	0	0	0	0	0	0	0
ASV_4807	0	1	4	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_5028	16	2	0	0	10	0	0	0	0	0	2	12	0	0	0	0
ASV_5497	2	2	0	0	0	8	0	0	0	0	0	6	0	1	0	147
ASV_5514	124	1	1	2	0	0	0	0	0	0	0	7	0	8	1	0
ASV_5608	0	0	1	0	0	0	0	15	0	7	0	0	0	3	0	0
ASV_5643	0	3	0	0	0	1	0	1	0	2	0	5	0	5	0	1
ASV_5863	0	0	18	11	0	2	0	0	0	0	0	0	0	0	0	0
ASV_6649	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ASV_6823	0	1	0	0	0	0	1	4	0	0	0	0	0	0	3	0
ASV_7066	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0
ASV_7305	0	6	7	3	0	5	0	6	0	0	0	0	1	3	0	5
ASV_7656	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ASV_7728	0	0	0	0	1	0	0	46	0	0	1	0	0	5	0	0
ASV_8060	4	43	112	99	0	6	0	41	8	120	17	195	1	372	12	32
ASV_8061	33	1633	3529	2956	40	89	0	1108	108	1934	317	3136	89	5506	410	697
ASV_8062	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0
ASV_8064	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0
ASV_8066	0	0	1	0	0	0	0	0	0	0	0	0	174	0	0	0
ASV_8070	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_8072	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0
ASV_8073	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1
ASV_8077	0	5	0	1	0	0	6	6	0	7	0	0	0	0	0	2
ASV_8078	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
ASV_8079	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
