#OTUID	KOSMOSD15_M1AS_UU	KOSMOSD15_MPAS_UU	KOSMOSD1_M1BS_UU	KOSMOSD1_MPBS_UU	KOSMOSD24_M1AS_UU	KOSMOSD24_MPAS_UU	KOSMOSD32_M1AS_UU	KOSMOSD32_MPAS_UU	KOSMOSD36_M1AS_UU	KOSMOSD36_MPAS_UU	KOSMOSD42_M1AS_UU	KOSMOSD42_MPAS_UU	KOSMOSD48_M1AS_UU	KOSMOSD48_MPAS_UU	KOSMOSD8_M1AS_UU	KOSMOSD8_MPAS_UU
ASV_1990	14	1	0	0	23	1	71	5	183	0	0	0	0	1	0	0
ASV_1999	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0
ASV_2002	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2
ASV_2004	0	16	0	0	0	0	0	0	0	0	0	8	0	17	0	0
ASV_2008	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV_2013	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_2014	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_2017	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2019	0	1	17	4	0	4	0	0	0	0	0	0	0	0	0	2
ASV_2022	3	7	4	5	2	1	0	11	0	1	0	0	2	0	0	0
ASV_2026	0	33	15	6	0	81	0	4	0	3	0	0	0	3	0	1
ASV_2027	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0
ASV_2028	10	1	2	0	0	14	0	29	0	8	0	25	0	71	0	0
ASV_2039	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2040	3	3	16	15	0	4	0	2	2	4	0	3	0	9	1	0
ASV_2042	0	2	0	0	0	0	0	3	0	1	0	11	0	0	0	0
ASV_2045	70	12	25	4	0	3	0	14	0	3	0	3	0	0	0	18
ASV_2046	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2047	0	11	5	1	0	0	0	0	0	0	0	0	0	3	0	0
ASV_2052	2	3	1	0	0	0	0	0	0	6	0	2	15	0	0	3
ASV_2057	6	445	81	44	0	351	1	217	0	114	0	83	1	864	6	132
ASV_2059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ASV_2062	0	0	0	0	0	0	1	0	2	0	10	0	10	0	1	0
ASV_2067	0	1	3	1	0	0	0	0	0	0	0	0	34	0	0	0
ASV_2068	0	0	0	0	0	2	0	5	0	0	0	1	0	4	0	0
ASV_2079	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
ASV_2081	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
ASV_2087	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	0
ASV_2089	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_2095	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_2098	3	15	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ASV_2099	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ASV_2108	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_2112	0	9	32	12	0	9	0	20	0	2	0	0	0	2	0	3
ASV_2113	10	3	101	52	0	0	0	0	0	2	0	1	0	0	37	0
ASV_2114	73	0	75	36	2	0	0	1	0	12	0	12	0	0	129	3
ASV_2117	0	0	0	1	0	1	0	8	0	0	0	0	0	0	0	0
ASV_2120	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ASV_2121	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ASV_2134	0	2	1	3	0	1	0	20	0	2	0	7	2	25	0	0
ASV_2135	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_2141	0	49	1	1	2	11	0	24	0	8	0	1	0	1	0	3
ASV_2143	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0
ASV_2147	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	0
ASV_2151	0	0	0	0	0	0	0	3	0	2	2	3	0	5	0	0
ASV_2153	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
ASV_2156	33	8	12	0	0	16	0	14	0	1	0	1	0	3	0	0
ASV_2157	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ASV_2161	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2162	0	9	5	4	0	0	0	3	0	1	0	2	0	4	0	18
