"","ASV","KOSMOS.D3.control1","KOSMOS.D3.control2","field_blank_mean_perc","envt_mean_perc","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"2978","D_3__Gemmatales_D_4__Gemmataceae$b4ce62e8d9cca533880c7919d9c97d8c",0,7,1.33658696789518e-05,NA,"Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata",""
"2979","D_3__Chitinophagales_D_4__Chitinophagaceae$b634a05adccb7fb18d6b290a1e575515",0,7,1.33658696789518e-05,NA,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","",""
"2980","D_3__Betaproteobacteriales_D_4__Gallionellaceae$b678a6dccd62966a81a8c6a090211996",0,7,1.33658696789518e-05,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Gallionellaceae","Candidatus_Nitrotoga",""
"2981","D_3__uncultured_bacterium_D_4__uncultured_bacterium$b74aed53f8ef2fda4eb01882358942ae",0,7,1.33658696789518e-05,NA,"Bacteria","Planctomycetes","OM190","","","",""
"2982","D_3__Gemmatales_D_4__Gemmataceae$b834beec48aaeddeed405b26838170e3",0,7,1.33658696789518e-05,NA,"Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata",""
"2983","D_3__Bacteroidales_D_4__Dysgonomonadaceae$b8436e57fc33559cc8c982a53d02ba6f",0,7,1.33658696789518e-05,NA,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","","bacterium_PH5-43"
"2984","ba27228203c1e8a6f432d4bf295c92bd$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"2985","baaf3b937fe34ca38a76933a7f318143$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"2986","D_3__Candidatus_Brennerbacteria_D_4__Parcubacteria_group_bacterium_GW2011_GWA2_42_14$bb74498c11cac95d2783f0bbce7d14c6",0,7,1.33658696789518e-05,NA,"Bacteria","Patescibacteria","Parcubacteria","Candidatus_Brennerbacteria","Parcubacteria_group_bacterium_GW2011_GWA2_42_14","Parcubacteria_group_bacterium_GW2011_GWA2_42_14","Parcubacteria_group_bacterium_GW2011_GWA2_42_14"
"2987","D_3__uncultured_bacterium_D_4__uncultured_bacterium$bb781b1b743e803e52ef5d03f93c4283",0,7,1.33658696789518e-05,NA,"Bacteria","Omnitrophicaeota","","","","",""
"2988","bc9e43c050e2e26e686d1dc5f69a71ff$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"2989","D_3__Clostridiales_D_4__Christensenellaceae$be6486bef11917cb5305307e669170bc",0,7,1.33658696789518e-05,NA,"Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae_R-7_group",""
"2990","D_3__uncultured_bacterium_D_4__uncultured_bacterium$be8d7fac6aaed335360b9a53cd7a7c22",0,7,1.33658696789518e-05,NA,"Bacteria","Planctomycetes","vadinHA49","","","",""
"2991","c0ea5bc2a3f3c4a565ed7aa163eb12e5$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"2992","D_3__Dehalococcoidales_D_4__Dehalococcoidaceae$c139b0bd80b14246609ecde435827df6",0,7,1.33658696789518e-05,NA,"Bacteria","Chloroflexi","Dehalococcoidia","Dehalococcoidales","Dehalococcoidaceae","Dehalococcoides",""
"2993","c37dc04ddcce3580620e0df1607c65a4$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"2994","D_3__uncultured_D_4__uncultured_bacterium$c4cccf8e945eff107188d75ccd30a906",0,7,1.33658696789518e-05,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","","","",""
"2995","c657b920f8abbc594f5ca1cb7fbadfc4$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"2996","c6a5a0612086fbeb2f9862ee48802976$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"2997","c950478989db6962fa0ae6e5d91aba93$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"2998","D_3__Cytophagales_D_4__Spirosomaceae$c98c82a2b12621a63e9f5f657689f0eb",0,7,1.33658696789518e-05,NA,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Emticicia",""
"2999","D_3__Rhodospirillales_D_4__Magnetospiraceae$c994a75922f0eebf8d1017757f238651",0,7,1.33658696789518e-05,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","",""
"3000","D_3__Chitinophagales_D_4__37-13$c9e77d2732c0c435596d348de37c738c",7,0,1.33658696789518e-05,NA,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","37-13","",""
"3001","D_3__MD2904-B13_D_4__uncultured_bacterium$cb2b0216004632a7749ca215c2943fe1",0,7,1.33658696789518e-05,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","MD2904-B13","","",""
"3002","D_3__Clostridiales_D_4__Peptostreptococcaceae$cd044cebb31a1a588973c8c607fe7751",0,7,1.33658696789518e-05,NA,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","",""
"3003","ce7077544a4992765977f7677d909b13$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"3004","D_3__Flavobacteriales_D_4__Cryomorphaceae$ceefc6ac46201157feb17ed128e03ffb",0,7,1.33658696789518e-05,NA,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","",""
"3005","D_3__Micavibrionales_D_4__uncultured$d0a5105246aee118e39ba45c70aa7eb5",0,7,1.33658696789518e-05,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","","",""
"3006","D_3__Betaproteobacteriales_D_4__Rhodocyclaceae$d5ffdc5ba3f2eed774db663a1acea6ab",0,7,1.33658696789518e-05,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Denitratisoma",""
"3007","d67d80fbceb2b3c87140f8d9d1227723$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"3008","D_3__Candidatus_Daviesbacteria_D_4__uncultured_Microgenomates_group_bacterium$daf8fa5b77d30380c9e42bdb8bd287d1",0,7,1.33658696789518e-05,NA,"Bacteria","Patescibacteria","Microgenomatia","Candidatus_Daviesbacteria","","",""
"3009","dcb4cfec465fa0bc523875bdb8be19fa$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"3010","$ddf26375f99148ad2ff9f44ec63b8691",0,7,1.33658696789518e-05,NA,"Bacteria","Cyanobacteria","Sericytochromatia","","","",""
"3011","deb740d44b6f27997842f3a6f8ee59b1$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"3012","e1eb5e055e0d81c9b6a6ef3ffc48bffb$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"3013","D_3__Candidatus_Moranbacteria_D_4__uncultured_bacterium$e1ed20fe85e820389e8d6412f54aef2a",0,7,1.33658696789518e-05,NA,"Bacteria","Patescibacteria","Parcubacteria","Candidatus_Moranbacteria","","",""
"3014","D_3__uncultured_bacterium_D_4__uncultured_bacterium$e34ebbb5fe57554fd4e7d82864a7bc91",0,7,1.33658696789518e-05,NA,"Bacteria","Omnitrophicaeota","","","","",""
"3015","D_3__11-24_D_4__uncultured_bacterium$e42bd148d55898f2645a4bd596fb91d7",0,7,1.33658696789518e-05,NA,"Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","24-Nov","","",""
"3016","e4b2a831a73d94fc4b298d879f58e2ee$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"3017","D_3__Candidatus_Peribacteria_D_4__uncultured_bacterium$e5954e1dc24fbbb638667abdec9b3f18",0,7,1.33658696789518e-05,NA,"Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Peribacteria","","",""
"3018","D_3__Bdellovibrionales_D_4__Bdellovibrionaceae$e5bcb9ac990162d4fab9f30909b59b3c",0,7,1.33658696789518e-05,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio",""
"3019","D_3__Rickettsiales_D_4__Rickettsiaceae$e8789c2b388671d78eb4d8210c66e2f0",0,7,1.33658696789518e-05,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","","Sesamum_indicum_(sesame)"
"3020","D_3__Bdellovibrionales_D_4__Bdellovibrionaceae$e9212b75b1b797299cc08bb6aa5141de",0,7,1.33658696789518e-05,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio",""
"3021","e961b07795ea2341d1e95ef691779ecc$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"3022","D_3__Legionellales_D_4__Legionellaceae$ea68bf3f877e023cf6e9b910ee05b227",0,7,1.33658696789518e-05,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella",""
"3023","D_3__Micavibrionales_D_4__Micavibrionaceae$eaa3a0c760bd56e02c4b71d795d92a50",0,7,1.33658696789518e-05,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","",""
"3024","ec5136fc06bc3ba9f4238f74971be383$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"3025","edb9125c21d880d03f5fcf84add4f349$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"3026","D_3__Bdellovibrionales_D_4__Bacteriovoracaceae$ee082d4be002397735afbf04936a39f0",0,7,1.33658696789518e-05,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter",""
"3027","$efa308b53c6d7599b4def4c1e1d5f43d",0,7,1.33658696789518e-05,NA,"Bacteria","Planctomycetes","Planctomycetacia","","","",""
"3028","D_3__Bacteroidales_D_4__Marinifilaceae$f20f8e01f0de76fef2f3af4b1310feb1",0,7,1.33658696789518e-05,NA,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae","Odoribacter",""
"3029","f212f7296943d06fb020499eac9314e6$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"3030","f258720721bfda775b7f03cda4acbdd8$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"3031","f3f5c2f2cadd2263e11bd926d809efbf$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"3032","D_3__Verrucomicrobiales_D_4__Verrucomicrobiaceae$f60d5c4e9e8478e35061eac57b6e52b7",0,7,1.33658696789518e-05,NA,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","",""
"3033","D_3__IMCC26256_D_4__metagenome$f6d98551b09bb162289cc7f482c3a948",0,7,1.33658696789518e-05,NA,"Bacteria","Actinobacteria","Acidimicrobiia","IMCC26256","","",""
"3034","f6fbf060122820613085304da7ef77ea$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"3035","f78156cd6fbc502cf41876c957b2c0f2$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"3036","D_3__Planctomycetales_D_4__Gimesiaceae$f862e8c83f21841af3c5e904570dec50",0,7,1.33658696789518e-05,NA,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Gimesiaceae","",""
"3037","D_3__Gemmatimonadales_D_4__Gemmatimonadaceae$fa3386835c20ef16b81c8384f0a95b88",0,7,1.33658696789518e-05,NA,"Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","",""
"3038","fa7da347668c8b8b6b458902a07b2621$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"3039","D_3__Phycisphaerales_D_4__Phycisphaeraceae$fea6b55a64933de83bc9ddf959a41875",0,7,1.33658696789518e-05,NA,"Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02",""
"3040","ff1186484dc20a4af8cce84d9ffbb1be$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"3041","D_3__Saccharimonadales_D_4__uncultured_bacterium$29ed83fb2adbe78d42322e5c5e6fdf52",0,6,1.14564597248158e-05,0.0536016604837874,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","","",""
"3042","D_3__Oceanospirillales_D_4__Saccharospirillaceae$5fddd1f6585d9c9f1de4b49ed04d6bd8",0,6,1.14564597248158e-05,6.97413427959752e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","",""
"3043","D_3__Sphingomonadales_D_4__Sphingomonadaceae$b8c8305231a3ef671d95072c180fdf97",0,6,1.14564597248158e-05,0.00234561250174353,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","",""
"3044","D_3__SAR11_clade_D_4__Clade_II$b36b27a154d85cc300f0a1309e9534d5",0,6,1.14564597248158e-05,0.00193388264771408,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_II","",""
"3045","D_3__Flavobacteriales_D_4__Cryomorphaceae$2dcaaa18a57abef8c1a77fd9d55cbf5f",6,0,1.14564597248158e-05,0.000465795390417156,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","",""
"3046","D_3__Flavobacteriales_D_4__Cryomorphaceae$0deb9135cd40b3d679ad893dc8873c1e",0,6,1.14564597248158e-05,0.000239295983538484,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","",""
"3047","D_3__Gammaproteobacteria_Incertae_Sedis_D_4__Unknown_Family$ddd59e982d556c787bc072db2b005e07",0,6,1.14564597248158e-05,1.91948649897179e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Alkalimarinus",""
"3048","D_3__Microtrichales_D_4__Ilumatobacteraceae$b9dcb3aa8ec16a4b1adae5240084ee2e",0,6,1.14564597248158e-05,0.000166675410994051,"Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter",""
"3049","D_3__uncultured_bacterium_D_4__uncultured_bacterium$5dadfd5514c8990db8e18c34d1e88a17",0,6,1.14564597248158e-05,5.3425707554715e-05,"Bacteria","Marinimicrobia_(SAR406_clade)","","","","",""
"3050","D_3__Francisellales_D_4__Francisellaceae$14b04a27fde28259532bee1576f52939",0,6,1.14564597248158e-05,0.000100453126779524,"Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae","Francisella",""
"3051","D_3__Steroidobacterales_D_4__Woeseiaceae$2d84ebdbed8c742fb816640233576892",0,6,1.14564597248158e-05,3.55105002309782e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia",""
