#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ddc47ace3935a3196f1c83e29b916812$Unassigned	Unassigned						
b054c334dedcfeff525005a03333e0c5$Unassigned	Unassigned						
D_3__Sphingomonadales_D_4__Sphingomonadaceae$9c3e648927a2024eec07e27b3a3e2393	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
D_3__Flavobacteriales_D_4__Cryomorphaceae$486ad728b6e1331ad96dbed64701be9b	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae		
D_3__Flavobacteriales_D_4__Crocinitomicaceae$350e1f9238dd5bce5236dba4bb54df38	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	
D_3__Synechococcales_D_4__Cyanobiaceae$b2c4f9c1885b68975043b0cddc5b94f5	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	
D_3__Flavobacteriales_D_4__Flavobacteriaceae$f836e78a00d45f7e7f238458f39f3185	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	
D_3__Rhodobacterales_D_4__Rhodobacteraceae$b46f8d5891ab1ed123fa3f597ae9f36c	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
D_3__Chitinophagales_D_4__Saprospiraceae$60c7e634299f7600b52e6fc1dee00fec	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae		
D_3__Actinomarinales_D_4__Actinomarinaceae$647bae126bf01b7aec76872b6f2ab44b	Bacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Candidatus_Actinomarina	
D_3__Rhizobiales_D_4__Rhizobiaceae$580f47a9e948218fd800fc2937720eea	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Lentilitoribacter	
D_3__Rhodobacterales_D_4__Rhodobacteraceae$4d5eb8e3ba56f0cb9945455d08ae0a60	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
D_3__Chitinophagales_D_4__Saprospiraceae$003a3dfc759cdc2e62d7bdb3e0b5a501	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella	
D_3__Synechococcales_D_4__Cyanobiaceae$8faa91e7766e3e88b6eba33f49a6a3de	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	
D_3__Rhodobacterales_D_4__Rhodobacteraceae$e69263d54352749060fae5725791bfc6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HIMB11	
$c59e12d055d861494ffd6d6fad1ba491	Bacteria	Marinimicrobia_(SAR406_clade)					
D_3__Flavobacteriales_D_4__Flavobacteriaceae$947b4bfd7550cd6347ed7ca543924c2f	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Lutimonas	
D_3__Flavobacteriales_D_4__Flavobacteriaceae$88b670b797a0d804d7cdc822066119b4	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae		
D_3__Sphingomonadales_D_4__Sphingomonadaceae$4d660ac7dcf39f26db683d2310fca01d	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Erythrobacter	
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$02ebc9e2294109abe2666165e6007aa4	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Ralstonia	
D_3__Flavobacteriales_D_4__Flavobacteriaceae$bb7f55b1c5aa1a254fff3b5168f98e7e	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae		
D_3__Oceanospirillales_D_4__Litoricolaceae$3a85b5736cfb89c413cb6dcfc16c5acc	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Litoricolaceae	Litoricola	
D_3__Flavobacteriales_D_4__Flavobacteriaceae$f4adf38bdf97f67f6c0205656de99b72	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter_3	
D_3__Flavobacteriales_D_4__Flavobacteriaceae$7e04a3c2a5251dea326d371a02b674e3	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Lutibacter	
D_3__Flavobacteriales_D_4__Crocinitomicaceae$bd1c3e4e13d0df6e59887d51157aa5b8	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	
D_3__Pseudomonadales_D_4__Moraxellaceae$4897fa9c5685d6c8f0ac86f531cf84d3	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	
c7c72f5c8fdfc2e2f0e20a286c0e3448$Unassigned	Unassigned						
D_3__Rhodobacterales_D_4__Rhodobacteraceae$89c968deaad98820d7c2912103276151	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
D_3__Flavobacteriales_D_4__Flavobacteriaceae$629b14176131f1cd9c3425df5a1da0fe	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Maritimimonas	
D_3__Cellvibrionales_D_4__Halieaceae$82b64eb463c416cabd5ceae001244f43	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade	
D_3__Cellvibrionales_D_4__Halieaceae$29fbc691efd3ed11573ce7291b256b4e	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade	
D_3__Rhodobacterales_D_4__Rhodobacteraceae$a87b8d73c992d61960e160ec1b9ed261	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
D_3__Flavobacteriales_D_4__Cryomorphaceae$5dd28e1253d3111f59844bae2830ac3e	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae		
D_3__Flavobacteriales_D_4__Flavobacteriaceae$6bd9d5deb2014adf55d559bf8cbca7dc	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae		
D_3__Flavobacteriales_D_4__Cryomorphaceae$36522fe19dce1958c687ffe1938c78b1	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae		
D_3__Actinomarinales_D_4__Actinomarinaceae$b72553aee1c38b784807621995124694	Bacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Candidatus_Actinomarina	
D_3__Rhodobacterales_D_4__Rhodobacteraceae$0d3c121c46073e92f589c813dec2e2f7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
D_3__Flavobacteriales_D_4__Flavobacteriaceae$22d75d32a62a56887fedba2d7332c037	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae		
D_3__Sphingomonadales_D_4__Sphingomonadaceae$b8c8305231a3ef671d95072c180fdf97	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae		
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$968245fdb3c5ee3a17099269457e5cd4	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Herbaspirillum	
D_3__Rhodobacterales_D_4__Rhodobacteraceae$5a1835cd9ff41a02570aff164c19c7a8	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	
D_3__Pseudomonadales_D_4__Moraxellaceae$5fa6b2085b9841c2013c9e6a2f68f9b4	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	
D_3__Flavobacteriales_D_4__Flavobacteriaceae$d9a152876ab4cd967249ac1d3c021d0c	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	
D_3__Puniceispirillales_D_4__SAR116_clade$6f9af960c0ba3389927d3db7ce6b03bd	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade		
D_3__Flavobacteriales_D_4__NS9_marine_group$96ac251abe7f4f28b168680036dc43e4	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9_marine_group		
