#OTUID	KOSMOS.D1.MPBS	KOSMOS.D15.MPAS	KOSMOS.D24.MPAS	KOSMOS.D32.MPAS	KOSMOS.D36.MPAS	KOSMOS.D42.MPAS	KOSMOS.D48.MPAS	KOSMOS.D8.MPAS
D_3__Flavobacteriales_D_4__Flavobacteriaceae$f4adf38bdf97f67f6c0205656de99b72	51	109	206	360	562	1534	773	56
D_3__Flavobacteriales_D_4__Flavobacteriaceae$7e04a3c2a5251dea326d371a02b674e3	65	103	50	234	200	105	419	308
D_3__Flavobacteriales_D_4__Crocinitomicaceae$bd1c3e4e13d0df6e59887d51157aa5b8	135	374	424	809	336	433	566	273
D_3__Pseudomonadales_D_4__Moraxellaceae$4897fa9c5685d6c8f0ac86f531cf84d3	0	264	5416	1096	123	128	41	0
c7c72f5c8fdfc2e2f0e20a286c0e3448$Unassigned	274	105	157	94	10	33	42	224
D_3__Rhodobacterales_D_4__Rhodobacteraceae$89c968deaad98820d7c2912103276151	331	553	574	348	43	417	235	167
D_3__Flavobacteriales_D_4__Flavobacteriaceae$629b14176131f1cd9c3425df5a1da0fe	76	136	3326	672	211	440	293	286
D_3__Cellvibrionales_D_4__Halieaceae$82b64eb463c416cabd5ceae001244f43	690	583	465	418	577	444	459	469
D_3__Cellvibrionales_D_4__Halieaceae$29fbc691efd3ed11573ce7291b256b4e	395	320	379	561	493	327	311	285
D_3__Rhodobacterales_D_4__Rhodobacteraceae$a87b8d73c992d61960e160ec1b9ed261	0	18	2063	575	565	760	42	0
D_3__Flavobacteriales_D_4__Cryomorphaceae$5dd28e1253d3111f59844bae2830ac3e	370	221	236	88	590	544	261	278
D_3__Flavobacteriales_D_4__Flavobacteriaceae$6bd9d5deb2014adf55d559bf8cbca7dc	365	151	470	487	236	327	140	839
D_3__Flavobacteriales_D_4__Cryomorphaceae$36522fe19dce1958c687ffe1938c78b1	1018	352	168	32	364	212	76	488
D_3__Actinomarinales_D_4__Actinomarinaceae$b72553aee1c38b784807621995124694	793	1332	474	546	602	262	233	936
D_3__Rhodobacterales_D_4__Rhodobacteraceae$0d3c121c46073e92f589c813dec2e2f7	107	234	208	1669	351	1249	1249	655
D_3__Flavobacteriales_D_4__Flavobacteriaceae$22d75d32a62a56887fedba2d7332c037	14	89	34	110	89	398	129	15
D_3__Sphingomonadales_D_4__Sphingomonadaceae$b8c8305231a3ef671d95072c180fdf97	0	75	261	376	241	840	267	0
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$968245fdb3c5ee3a17099269457e5cd4	0	8	0	9	0	0	13	235
D_3__Rhodobacterales_D_4__Rhodobacteraceae$5a1835cd9ff41a02570aff164c19c7a8	0	0	5177	1747	0	24	0	0
D_3__Pseudomonadales_D_4__Moraxellaceae$5fa6b2085b9841c2013c9e6a2f68f9b4	0	58	3749	751	39	97	42	43
D_3__Flavobacteriales_D_4__Flavobacteriaceae$d9a152876ab4cd967249ac1d3c021d0c	491	516	973	305	291	652	967	940
D_3__Puniceispirillales_D_4__SAR116_clade$6f9af960c0ba3389927d3db7ce6b03bd	373	289	243	210	229	180	305	345
D_3__Flavobacteriales_D_4__NS9_marine_group$96ac251abe7f4f28b168680036dc43e4	167	190	598	46	44	25	36	361
D_3__Bacteroidetes_VC2.1_Bac22_D_4__uncultured_alpha_proteobacterium$2cef76032972ecfe6ec7a0d9360fc6b7	8	9	20	25	21	9	24	56
D_3__Verrucomicrobiales_D_4__Rubritaleaceae$e991b2d81b5dc27ff1d13867129a6454	338	705	383	1105	850	533	634	671
D_3__Nitrospinales_D_4__Nitrospinaceae$f95b8514cb06df776c13f10d2022759d	134	67	12	243	78	96	152	1148
D_3__SAR11_clade_D_4__Clade_II$b36b27a154d85cc300f0a1309e9534d5	439	396	496	442	211	197	272	470
D_3__Flavobacteriales_D_4__Flavobacteriaceae$f457235b5c205ba3bfc6a10ce27f6042	31	11	522	193	110	739	329	37
D_3__Flavobacteriales_D_4__NS9_marine_group$69dfae1be25dc470c35ca5d85dd53f94	424	298	372	94	330	687	153	360
D_3__Rhodobacterales_D_4__Rhodobacteraceae$da4cb3a14b4cfc34e0e97724839f0bb3	436	706	544	670	499	366	370	717
D_3__Flavobacteriales_D_4__Flavobacteriaceae$34538ec193c0d16e24a471285d720f05	0	12	4091	1866	72	151	0	0
D_3__Flavobacteriales_D_4__NS9_marine_group$22c488fb052c9e837e1ad53b31cc4c5f	480	539	659	747	309	660	1436	394
D_3__Flavobacteriales_D_4__NS7_marine_group$42037215dd97865bd8d857b6a2d97dc8	407	269	319	447	134	103	176	199
D_3__SAR11_clade_D_4__Clade_I$76629fe6124e30ea71d065c8ffdc1494	585	624	468	490	206	209	360	1008
D_3__Flavobacteriales_D_4__Crocinitomicaceae$aad79f2610d20d9f1cf61038dd343726	372	1984	105	75	1574	422	547	500
D_3__Oceanospirillales_D_4__Saccharospirillaceae$5e7ca03cd4b3c77b4a228d08006aa8ab	0	31	42	46	0	0	16	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$53d820cf8a52ed610c6d004a2d4817b2	0	55	66	61	21	68	28	0
D_3__Cellvibrionales_D_4__Halieaceae$4e22c13129c4ca2fce51d45c88288f5f	311	581	483	400	444	411	389	403
D_3__Rhodobacterales_D_4__Rhodobacteraceae$ba9401097ffe3f8b33bcff3fb324537d	100	96	128	124	46	44	83	71
D_3__Synechococcales_D_4__Cyanobiaceae$d702f8824185524798e6fd644b0743a4	191	309	21	88	57	254	145	2577
D_3__Puniceispirillales_D_4__SAR116_clade$bed83ae325ff851eebe97580f3f6489e	139	148	132	148	224	174	294	154
D_3__Nitrosococcales_D_4__Methylophagaceae$380e00c956b387490d0d22cf7e654f7a	49	28	0	11	0	0	5	12
D_3__Caulobacterales_D_4__Caulobacteraceae$40dd03bfadc6647c1d86abfa7a0494b5	42	64	90	18	34	59	0	338
D_3__Phycisphaerales_D_4__Phycisphaeraceae$aadbfa4b0e9c63ac92ca592fde1c054c	301	442	461	787	262	292	421	571
D_3__Rhodothermales_D_4__Rhodothermaceae$e09a56fd2063b4e22396d74ecc319cd8	238	364	182	604	148	507	794	724
D_3__Flavobacteriales_D_4__Flavobacteriaceae$0d4d9eecd6186980b396dbfadc07892b	52	32	112	32	58	46	13	45
D_3__PeM15$a51561d95d7a240b83bc0d94cc628c48	333	402	253	210	81	104	160	244
D_3__Micrococcales_D_4__Microbacteriaceae$057db92f77a9906591e6f823afdc74fc	1426	1106	673	123	128	38	56	694
D_3__Flavobacteriales_D_4__Flavobacteriaceae$1bfc658277bef73598ad821b03c3b0c8	220	488	670	84	327	662	382	421
D_3__Flavobacteriales_D_4__Crocinitomicaceae$440d0b23f698e16a796bc163105a77af	0	0	0	2120	62	212	29	0
D_3__Verrucomicrobiales_D_4__DEV007$4794a74ee8cfef390132d947fd723fcf	365	235	105	97	56	25	30	430
D_3__Rhodobacterales_D_4__Rhodobacteraceae$4501351cc0ad924617eaabd3baea7477	0	24	4457	52	19	64	17	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$aa128d80613e1dbe386fe51ab0810bd9	846	646	231	112	252	256	291	896
D_3__Flavobacteriales_D_4__Crocinitomicaceae$413836610f329c5e0cb1bc80fbd460b3	111	196	391	976	311	545	1456	212
D_3__Flavobacteriales_D_4__Crocinitomicaceae$88c51da8bd1c1f083f365d8404831a4b	270	1221	73	95	1818	433	721	264
D_3__Flavobacteriales_D_4__NS9_marine_group$f23636152b1c8d7072185dd514649907	91	51	335	115	45	88	113	183
D_3__Rhodobacterales_D_4__Rhodobacteraceae$1e2dd57a202a14eeb749d0a50ed94630	0	0	0	9	0	0	0	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$128836b13549428e8f9cf5b5983ba2e8	43	27	105	52	21	97	38	22
D_3__UBA10353_marine_group_D_4__uncultured_gamma_proteobacterium$e753ed196a7c30d566bb315375851dd5	391	391	173	682	230	412	313	421
D_3__Sphingomonadales_D_4__Sphingomonadaceae$7e6a9d305a468f98960341dff62ed4e6	0	63	1371	801	17	11	0	0
D_3__SAR11_clade_D_4__Clade_I$d894bc779580ad7a6755e7486f4e238e	559	638	347	447	224	240	236	685
D_3__Rhizobiales_D_4__Stappiaceae$36b47c444496536add955d37f2ef3fe0	0	4	1822	2442	15	102	6	0
D_3__Cellvibrionales_D_4__Halieaceae$5d2a278d81b9a1c3a1475ebf0f983fe4	193	237	498	343	409	534	487	314
