#OTUID	KOSMOS.D1.MPBS	KOSMOS.D15.MPAS	KOSMOS.D24.MPAS	KOSMOS.D32.MPAS	KOSMOS.D36.MPAS	KOSMOS.D42.MPAS	KOSMOS.D48.MPAS	KOSMOS.D8.MPAS
c01e132af0927fa3af560ab87826436e	0	0	0	0	0	0	49	0
e63fe703fb79408e5bc38e35b928ae07	28	7	5	0	0	0	0	0
c1c7f98b129e96e27024c41cb6677824	0	0	0	0	10	38	0	0
05295a623bd93c89172bac548f81dd0d	0	0	0	6	0	27	12	0
9a006ffb0fd2db6f518185d6ca770e96	34	0	0	0	0	0	0	0
b93769465a31e0b07172d735f3cfb75a	0	0	0	0	0	0	43	0
8805982a8fd5b49a9374b233259d6614	0	0	0	25	0	0	0	0
e30e925bba5c1213fd642219f7195146	13	0	0	0	0	0	0	0
fef42a3804ad156ee914c38473802bf2	0	35	0	0	0	0	0	0
9f96d461e5016b352947477c1e4b5fdb	0	11	29	0	0	0	0	0
a9a5714516b1b4a7b695b352c0f8d005	0	11	0	0	0	0	12	0
25fc71725ccdefad9eb31a493c41ad7f	15	11	0	0	0	0	0	0
d4cde7c8aab977d63ff1f4896b8ec250	5	0	0	29	0	0	0	0
0421d6265cef7d012369a34b08c521d5	0	5	15	5	0	0	0	4
e626ce83a4ef6211f7c3a38a32174527	0	0	0	0	0	8	0	25
af23f68e2a4f7c7125e08f4807b87bb4	0	0	0	0	18	0	0	13
45857c728fe38e208e256fecaab106c0	0	0	0	16	7	0	0	0
7a4211e72b091cfc4aed3cfcabd73ea8	0	0	24	5	0	0	0	0
e9a7e85b7b2017576c46d9550e3aeb93	0	17	0	0	0	0	10	0
af3512e86eeeef7c71a0d0265b5cfb14	0	0	0	0	0	0	27	0
7feecdf794cf86899fa740ee7a86d0a0	0	0	0	7	0	0	0	0
de05c74f1a4741be8ed2874fe5013187	0	0	0	26	0	0	0	0
ecc9ab50c1e53ad9c8b3cf46c211cde8	0	0	0	0	0	26	0	0
8bd5f3b13310e519562ac945e593d046	0	0	0	8	0	8	9	0
653689c0090cd499534548cb2ac92fde	0	0	0	5	5	15	0	0
6f73a0104c73f914320af81ee7f4cfe5	0	0	0	0	0	0	14	0
ba1e4c3a8b2a4f6055a3ef8afbe6eb25	0	0	23	0	0	0	0	0
ad6b9c1c869d82b088e4e389d07cc023	0	0	0	0	0	0	0	22
78d07a90a11a39d424eb006cc69f6ed3	0	0	14	0	0	0	7	0
7e10d2767fcac1cebd50e4c0afb42a61	7	0	0	0	0	0	0	0
88f6e433e66125716d2f27021bbdfe6a	0	0	20	0	0	0	0	0
2452d8574651d1741f591cce63d64c43	0	0	15	0	0	0	0	5
10158f75e32c860722f29ac536c5d579	0	0	0	6	0	0	0	0
58cfa22827f8e57bc959f64621e8cd2f	0	13	0	0	0	0	0	0
23a6dc97fccc14c5f2c63e2d7e5842b7	0	0	18	0	0	0	0	0
1a3084b5ea6cbf31ab824f7a7f918b48	17	0	0	0	0	0	0	0
d1017a9bacb76c79a76a4daab04e133d	6	0	0	0	0	0	0	0
52cf4f622c2381df5acde77f8b06f47a	0	0	0	17	0	0	0	0
ab80aa6a6d79a3d92be11de5131588b3	0	16	0	0	0	0	0	0
8ba693fe4475657cb8bb3524835d1062	0	0	0	0	0	15	0	0
4dd4082b489cc95e0d20e29675e8509a	0	0	0	0	0	0	15	0
b3f47ada15473d8e649aa3e37668e59d	0	0	0	0	0	0	0	15
c2d4fce4edcc73b2b54e1561be2dfafb	6	0	0	3	0	0	0	0
d48a8bccffbeebfc20568125d41d0294	8	0	5	0	0	0	0	0
bb52a5a740007cbad5aac0a1fe6cd565	0	0	0	0	0	0	13	0
790bbecc418867048e6ff094f0aad1d5	4	0	0	0	0	0	0	0
91d8042749f85403e991f35f549ea4fe	0	0	0	0	0	0	12	0
1e337073e903d3c72d8a73426c9686dd	0	0	0	0	0	0	0	12
04a54c961bb235e7ec1b8ce88453832e	10	0	0	0	0	0	0	0
6ff2b5e928b906c7e6c9160aa8a82c08	5	0	5	0	0	0	0	0
dbe31db4a6433ffb7bacbcb0d8408d4e	0	0	0	0	10	0	0	0
a747673f614170a78208246c62a15d2c	0	0	9	0	0	0	0	0
62f27fc97ea9fdd47efa64b9e37d2b60	0	0	0	9	0	0	0	0
11f834db425bc90a16300e2f079b15a7	0	0	0	0	0	9	0	0
9ef1663ba6e8ac161cda68c2c22e7e57	0	0	0	0	0	0	9	0
a5d825eb3dcbf92d97714ef8429083a1	8	0	0	0	0	0	0	0
c4cfb0b7f611bdccd09de59ba9a695b0	8	0	0	0	0	0	0	0
c173397bbd6d627df9baa4418aad6e34	0	7	0	0	0	0	0	0
57329113e6a30613d269cbc1936b3675	0	0	7	0	0	0	0	0
97b57286420c4afbbdc0cbc966f07e14	0	0	0	7	0	0	0	0
f92fc2d7704f12d8becbf2d4899f6f06	0	0	0	0	0	0	7	0
50248b2209dfdaa6f034669c3e6867b2	0	6	0	0	0	0	0	0
e753315b7be9afa0dc39c36815ed1b50	0	0	6	0	0	0	0	0
32f1b340dd18f56c69f3ac4be3b19a9c	0	0	6	0	0	0	0	0
1619d7c75ef240aef42ab53522a3a103	0	0	0	0	0	0	6	0
e3a27e62c9f613652b033963b6dcf408	0	5	0	0	0	0	0	0
581b5de83d8bd9cd597b40c6f89c9c83	0	0	4	0	0	0	0	0
5c279554584d314b39b8e0bccf615b79	0	0	4	0	0	0	0	0
8ed96db8bdc7ac16cdf12d6c14aa0f7a	0	0	0	4	0	0	0	0
6ddcd71ddc5a0880102bba6fe6bbecb8	0	0	0	4	0	0	0	0
885b27839b62b00f31fd09e99079972d	0	0	0	0	0	0	4	0
52e76e2733f7b696202b560aa865d245	3	0	0	0	0	0	0	0
9a34ce0491c7186221662c1ddff1e15e	0	0	0	3	0	0	0	0
0788a03b3206a719ffc491628300dada	0	0	0	0	0	3	0	0
d675927595c6ffdd33c0c40809a73593	0	0	0	0	0	0	3	0
594d2769cca5613a1d4ddb6071a8ad94	0	0	0	0	0	0	3	0
72bafe306d92f2bbcd0887700eeb9053	0	0	2	0	0	0	0	0
21973444f97e6c36be186d3edf4e4f1e	0	0	0	0	0	0	2	0
9c51c25899240d00ac52cead2aefe367	0	0	0	0	0	0	0	2
