#OTUID	Kingdom	Supergroup	Phylum	Class	Subclass	Order	Suborder	Family	Genus	Species
c42250e8e0c5454779ea2b7a43dc264c	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae		Prymnesiales	NA			
61a30a195aa50828309cd6a42dd81d6e	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta			NA			
2d3a26b959c51d33494ae3006c1890bd	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae		Mamiellales	NA			
6b82949db47d8b448fa5a82d1ac79936	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta			NA			
fb0e7d7d6eb417d326f5a4f47e284465	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae		NA			
606fd5f3c90d426dbb74c454442ddd4e	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
b16c047ba04a60bde71f537a09c62d3c	Eukaryota	Stramenopiles	Ochrophyta				NA			
64eb8580f35a7ef73a87fa5a1a0aa95d	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae			NA			
6b4775f85836dc47570daebcbd3429b2	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta			NA			
732c5a5744d4481a5a19b2663cefc6ae	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae			NA			
baa5448d80db84deef60639a48f2945a	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae		Mamiellales	NA	Mamiellaceae		
e55a78a1c8062a8044c653d07dbd915a	Eukaryota	Archaeplastida	Chlorophyta	Prasinophyceae		Pyramimonadales	NA	Pyramimonadaceae		
e514e47bcd137145382ab4709d16b7a2	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae	Cymbellales	NA	Cymbellaceae		
fa633eb2208ad0b9211b90e1da630ec7	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae		Oltmannsiellopsidales	NA	Oltmannsiellopsidaceae	Oltmannsiellopsis	Oltmannsiellopsis
3e50e77a8bb07cac6bf4c6623f5d185e	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae			NA			
5e23e4e1f8a41d2d7d0d6439cde2a766	Eukaryota	Stramenopiles	Ochrophyta				NA			
40450b44940c08498a7bf2d3ff47a849	Eukaryota	Archaeplastida	Chlorophyta	Prasinophyceae		Pyramimonadales	NA	Pyramimonadaceae		
0e2aa104e4ada9abaa8094203d4c9e9c	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae			NA			
bdc617824c81aad4c3e31b549d222b80	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
b3e3bf49951fd57fef9a0712bdcedb5a	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
2cb58e389011372307a5affb4eb87e3b	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae			NA			
8727190c50d0303c63de28feafd1ab3e	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
fe54a6b3853a4ba111acf8886bee63ae	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae		Pyrenomonadales	NA			
fa77c54aa003bb04df29a4985077ee61	Unassigned						NA			
178f2b30b80c8008b3f17bfc73d0810f	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae		Phaeocystales	NA	Phaeocystaceae		
6aefa26af43d40a8162db6f7695c1152	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae		Phaeocystales	NA	Phaeocystaceae		
219828c904ec5c4c164cb82f0183769d	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta			NA			
3d2a21690df214f790747c23c7f50a13	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae		Pyrenomonadales	NA			
97e8b13f22527b063865cbdf15a7fa59	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	NA			
3e3643b6e0f842f3f69a596a42bd32c2	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae			NA			
b4ec7581fa901b664e01f6675f340ba2	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae		Prymnesiales	NA			
bc1819f4c88904f014d0865c0a09c8ec	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae			NA			
af5fe6cf3758537a4a88e804eed97cbf	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta			NA			
5ac9e1e1f137a918ebee250fbe0d856a	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae		Pyrenomonadales	NA			
836c8649bf9c3e71c1fecea4f98ece34	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Cymatosirales	NA	Cymatosiraceae		
9ce5610a06f1105885cf685ed73f5a73	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae		Phaeocystales	NA	Phaeocystaceae		
22f0e8a61441d36d0727b04f15253ab0	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae		Prymnesiales	NA			
8751e2920100fe9f560be4345ab4c8f8	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae			NA			
9eb750f3e4804bdff6cc665113bdd039	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
fc253b74f104e63cb6a394122ab281a4	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
a3e34c2f2e7f82059db4c692a3a00005	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae			NA			
07be4271cb7f8a8b37e63efe6b39d245	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	NA			
4244586faf3a126030cffb1edd2f4596	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae		Prymnesiales	NA			
c250a4a4c9c26bc3252480bbfa1dc2e9	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae			NA			
8a6c94726c0780da709f413ba6a92c91	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae		Mamiellales	NA	Bathycoccaceae		
3e9ecb1735f5d68b8fe25e8346e8f6c6	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae		NA			
c01e132af0927fa3af560ab87826436e	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
e63fe703fb79408e5bc38e35b928ae07	Eukaryota	Archaeplastida	Chlorophyta	Chlorodendrophyceae		Chlorodendrales	NA	Chlorodendraceae	Tetraselmis	Tetraselmis
c1c7f98b129e96e27024c41cb6677824	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae	Cymbellales	NA	Cymbellaceae		
05295a623bd93c89172bac548f81dd0d	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae			NA			
9a006ffb0fd2db6f518185d6ca770e96	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	NA			
b93769465a31e0b07172d735f3cfb75a	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
8805982a8fd5b49a9374b233259d6614	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
e30e925bba5c1213fd642219f7195146	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae		Pyrenomonadales	NA			
fef42a3804ad156ee914c38473802bf2	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta			NA			
9f96d461e5016b352947477c1e4b5fdb	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae		NA			
a9a5714516b1b4a7b695b352c0f8d005	Eukaryota	Archaeplastida	Chlorophyta	Prasinophyceae		Pyramimonadales	NA	Pyramimonadaceae		
25fc71725ccdefad9eb31a493c41ad7f	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Cymatosirales	NA	Cymatosiraceae		
d4cde7c8aab977d63ff1f4896b8ec250	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
0421d6265cef7d012369a34b08c521d5	Eukaryota	Archaeplastida	Chlorophyta	Prasinophyceae		Pyramimonadales	NA	Pyramimonadaceae		
e626ce83a4ef6211f7c3a38a32174527	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae			NA			
af23f68e2a4f7c7125e08f4807b87bb4	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae			NA			
