#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
D_3__Verrucomicrobiales_D_4__DEV007$4794a74ee8cfef390132d947fd723fcf	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	DEV007		
D_3__Rhodobacterales_D_4__Rhodobacteraceae$128836b13549428e8f9cf5b5983ba2e8	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	
D_3__UBA10353_marine_group_D_4__uncultured_gamma_proteobacterium$e753ed196a7c30d566bb315375851dd5	Bacteria	Proteobacteria	Gammaproteobacteria	UBA10353_marine_group			
D_3__Sphingomonadales_D_4__Sphingomonadaceae$7e6a9d305a468f98960341dff62ed4e6	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	
D_3__Rhizobiales_D_4__Stappiaceae$36b47c444496536add955d37f2ef3fe0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Stappiaceae	Stappia	
D_3__Microtrichales_D_4__Microtrichaceae$8e6b0b634afa67d98925a405d5c6ea45	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	
D_3__SAR11_clade_D_4__Clade_I$2254682df5e48271de1302be391773d0	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I		
D_3__Parvibaculales_D_4__PS1_clade$3043d03bd8656e13196bdc5a2d4aef0d	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	PS1_clade		
D_3__Oceanospirillales_D_4__Saccharospirillaceae$2c7999f223a152e08873cd26598582ff	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae	Oleispira	
D_3__Verrucomicrobiales_D_4__Rubritaleaceae$9c4f1bddeef9f25d444242dcb63e6b25	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Persicirhabdus	
D_3__Cellvibrionales_D_4__Halieaceae$05e9a9d9d7d60f7fb08ec1b671fd51e9	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae		
D_3__Cellvibrionales_D_4__Porticoccaceae$e0a72fcbacef89e802959cfc22b91074	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	Porticoccus	
D_3__Oceanospirillales_D_4__Nitrincolaceae$e136cb63ca70b1a49fc0c13d959beee6	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nitrincolaceae	Neptuniibacter	
D_3__Opitutales_D_4__Puniceicoccaceae$0377bd854b482edcd93733587cf06f3e	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Lentimonas	
D_3__Cellvibrionales_D_4__Porticoccaceae$25c2006b63d1dc07b5b1a99a511fe698	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	SAR92_clade	
D_3__Rhodobacterales_D_4__Rhodobacteraceae$a94dc965388092c7cea2bdf6f0a49ec9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Donghicola	
D_3__Balneolales_D_4__Balneolaceae$f5c2b41fd2dbfe46432f3132d42976a8	Bacteria	Bacteroidetes	Rhodothermia	Balneolales	Balneolaceae	Balneola	
D_3__Puniceispirillales_D_4__SAR116_clade$a160e82b275fa5d85efb76525c1343cf	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	Candidatus_Puniceispirillum	
D_3__Oceanospirillales_D_4__Nitrincolaceae$f6c42c28e35251c2d964822b6513b591	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nitrincolaceae	Marinobacterium	
D_3__Rhodobacterales_D_4__Rhodobacteraceae$1ab964cc3f147eb14d26c0ed58e238b9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudophaeobacter	
D_3__Sphingomonadales_D_4__Sphingomonadaceae$03f6ee3b2fd107b28848749b78775ae7	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	
D_3__OM182_clade$4280e5ba8f9a4f1880e5493432a1590d	Bacteria	Proteobacteria	Gammaproteobacteria	OM182_clade			
D_3__Planctomycetales_D_4__Rubinisphaeraceae$5030bd080490d6d601bcf7279402dcb2	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Rubinisphaeraceae		
D_3__Oceanospirillales_D_4__Nitrincolaceae$dab4bf3183d7723cddc99ce6a9113271	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nitrincolaceae	Amphritea	
D_3__Flavobacteriales_D_4__Crocinitomicaceae$8b8372389975e3ee41a25138d53db956	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix	
D_3__Betaproteobacteriales_D_4__Rhodocyclaceae$f9d378c4390cfb614482182bbdae11ea	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Rhodocyclaceae	Methyloversatilis	
D_3__Caulobacterales_D_4__Caulobacteraceae$814db0e0e076f5b2aa0390599843b0e8	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	
D_3__Rhodospirillales_D_4__AEGEAN-169_marine_group$6d7a42774a36e338da98a0937480cd55	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169_marine_group		
D_3__Rhizobiales_D_4__Rhizobiaceae$57e98ab12256fcdb77615781c5f50d4e	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	
D_3__Alteromonadales_D_4__Colwelliaceae$ccd078bd4639483431e02397eddea90b	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	
D_3__Cellvibrionales_D_4__Halieaceae$fd07c02ea1941ca03eed9aa9cda65e9f	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Luminiphilus	
