#OTUID	KOSMOS.D1.M1BS	KOSMOS.D1.MPBS	KOSMOS.D15.M1AS	KOSMOS.D15.MPAS	KOSMOS.D24.M1A	KOSMOS.D24.MPAS	KOSMOS.D32.M1AS	KOSMOS.D32.MPAS	KOSMOS.D36.M1AS	KOSMOS.D36.MPAS	KOSMOS.D42.M1AS	KOSMOS.D42.MPAS	KOSMOS.D48.M1AS	KOSMOS.D48.MPAS	KOSMOS.D8.M1AS	KOSMOS.D8.MPAS
D_3__Desulfobacterales_D_4__Desulfobulbaceae$5d41e9d2ad39e8a0d33006c7a65fb690	0	0	5	0	0	0	141	0	58	10	11	11	0	0	0	13
D_3__Nitrosococcales_D_4__Methylophagaceae$c3b025e224fb56e3e2a2bd5e34baa5e1	0	0	28	0	0	3	32	13	32	0	0	0	0	8	0	5
D_3__Chitinophagales_D_4__Saprospiraceae$9d592cee5da0782afac58d339b37432b	0	0	0	0	6	3	25	0	0	0	14	0	67	0	0	2
D_3__Arenicellales_D_4__Arenicellaceae$4c9ddc9a593ceccf996034f6f1cdbfef	0	0	4	7	10	0	0	0	17	0	2	5	91	0	33	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$70410a2dd810b8ae63c1da13d3f41d68	0	0	6	0	0	7	0	0	0	0	0	0	0	0	0	0
D_3__Anaerolineales_D_4__Anaerolineaceae$a12dc1ed2bf9b5f042a94bd02ecb565c	0	0	0	0	0	0	7	0	5	12	0	11	11	5	0	3
D_3__Gaiellales_D_4__uncultured$e36bcc336e08bf91cb745e45cad3e69e	0	4	0	0	4	6	39	7	8	0	6	0	0	0	3	5
D_3__Flavobacteriales_D_4__Flavobacteriaceae$1277ef006fccfac291d721a5cdb17306	0	0	10	0	23	0	5	0	0	0	0	0	0	0	36	0
D_3__Oceanospirillales_D_4__Marinomonadaceae$2cec1940259f8db8b49f201ae5ff825b	0	0	3	0	0	96	0	0	0	2	0	0	0	0	31	0
D_3__Francisellales_D_4__Francisellaceae$406f5e0b68020a2801a4370fb64f6aaa	44	20	0	0	0	5	0	21	0	6	2	15	10	12	0	7
D_3__Rhizobiales_D_4__Hyphomicrobiaceae$3b4c0f701720338937291a027a2e19f5	0	0	0	0	0	0	33	0	0	0	0	24	0	15	0	0
D_3__Rhizobiales_D_4__Stappiaceae$9aba0bb5b601973e944d4c5dcfd897ff	0	0	0	0	0	0	14	7	0	0	0	5	0	0	0	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$9aa68bd8bfdaf855cb87a78e82be072f	0	0	0	0	0	0	17	0	53	0	0	0	0	0	0	0
D_3__Babeliales_D_4__Babeliaceae$0c89420ae19c874d68ef9f6228c88d0d	2	0	0	4	5	0	0	0	0	0	0	0	0	0	0	7
D_3__Caulobacterales_D_4__Hyphomonadaceae$aff525204799672bbd49513f0042c82a	0	0	0	0	54	0	20	0	5	0	0	4	0	2	0	0
D_3__Fusobacteriales_D_4__Fusobacteriaceae$ed3474970ba4bb5866401c7986ea575a	12	4	0	10	0	13	0	15	0	16	0	0	0	19	0	0
D_3__Alteromonadales_D_4__Moritellaceae$3c1c8eb94084b7401afd920bbef8b2cf	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
D_3__uncultured_bacterium_D_4__uncultured_bacterium$e13f918801373d0014279b3baf8a642e	0	0	0	10	0	4	55	5	58	28	0	15	10	24	0	4
D_3__JGI_0000069-P22$e54ea0b1238a69c65517a3dc2475a0e0	0	0	25	0	5	0	0	6	0	0	0	0	0	0	0	0
D_3__Methylococcales_D_4__Methylomonaceae$681bdb5fa61f263f32c90b7adfdabd75	0	5	0	0	0	5	0	8	0	0	0	17	0	26	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$c084b1766cd81525a002e31b6e5bac35	0	0	0	0	14	46	0	4	0	3	0	0	0	0	0	0
D_3__Cellvibrionales_D_4__Cellvibrionaceae$118e8d95478236a045f8cb283a613196	0	0	41	0	17	0	0	0	0	0	3	0	0	0	21	0
D_3__Lentisphaerales_D_4__Lentisphaeraceae$47759a2b6ba03116036eb08406168bd6	0	0	19	0	39	2	18	36	0	19	0	30	0	19	0	0
D_3__Oligoflexales_D_4__0319-6G20$55c00444cfc9abcfcc1c20dbc1e60167	0	0	0	0	0	0	0	0	52	2	0	8	0	4	0	0
D_3__Caulobacterales_D_4__Hyphomonadaceae$61cdf34c8c10578d9733347edac3bb7e	0	0	7	0	0	34	8	9	52	0	0	10	0	0	0	0
D_3__Desulfobacterales_D_4__Desulfobacteraceae$71c5a51e0d45def36c2bd348de9fa57f	0	0	0	10	0	0	33	8	51	0	0	0	0	0	0	0
D_3__Rhizobiales_D_4__Rhizobiaceae$95db3960e72b0fc778ff2bac2a01ddcc	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0
D_3__Flavobacteriales_D_4__Cryomorphaceae$e7a6fa481ad87e2da0d5ae3a18c321a9	10	0	0	0	4	0	45	12	0	0	0	0	0	8	0	0
D_3__Chromatiales_D_4__Sedimenticolaceae$fc93af5215e8ac51ab734d0d0b439511	0	2	0	3	0	0	0	3	0	6	0	5	0	6	0	4
D_3__Caulobacterales_D_4__Hyphomonadaceae$12c7323bbdc719d296dd049a94c0063a	0	0	0	0	0	3	7	3	0	0	3	0	0	39	24	0
D_3__Cellvibrionales$b8e22412a7778a296742acbeef095e15	2	0	0	3	0	0	44	0	5	0	0	15	0	15	0	0
D_3__Alteromonadales_D_4__Alteromonadaceae$251a655217d3bc65b5a6a76d7b6639e6	0	0	0	0	0	0	0	0	2	0	0	15	0	0	0	0
D_3__NB1-j$3502440cd30ecfbcfd1c2aa726656eac	0	6	0	0	0	0	0	0	0	0	0	26	3	31	0	7
D_3__Fusobacteriales_D_4__Fusobacteriaceae$3d36b5c1d7f7d4089db9e5e7144679c6	0	4	0	17	0	0	0	0	0	0	0	31	0	0	0	15
D_3__Vibrionales_D_4__Vibrionaceae$54cc53f914159d04055d717ce6de6c8d	0	0	13	0	6	5	0	5	0	0	0	6	0	0	12	0
D_3__Desulfobacterales_D_4__Desulfobulbaceae$4d8d20055393945fbe550f6888a3a632	0	0	0	17	0	0	57	9	26	0	3	0	0	0	0	9
D_3__Francisellales_D_4__Francisellaceae$ee0bab718e87527683d79a9d5f8e63d9	0	0	0	7	0	0	0	0	0	3	0	12	0	54	0	0
D_3__Izimaplasmatales_D_4__uncultured_bacterium$337d5d40b953937591590ed7d5cd328e	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
D_3__Reyranellales_D_4__Reyranellaceae$881fb3eefffdec4a1a89b43c9a6dbd55	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0
D_3__Caulobacterales_D_4__Hyphomonadaceae$a48d1207099e1d00d5b26dae99fd225e	0	0	0	0	7	0	35	0	24	0	0	0	3	0	0	0
D_3__Gammaproteobacteria_Incertae_Sedis_D_4__Unknown_Family$3ba059f92024d540326a7cde8d6f8fce	0	3	0	0	0	0	29	0	3	0	0	9	0	6	4	0
D_3__Caulobacterales_D_4__Caulobacteraceae$831ec6905109bcf9efbe003ec860c493	4	0	0	0	14	0	14	3	2	0	0	11	33	0	0	0
D_3__Bacteroidales_D_4__Prolixibacteraceae$0d1db1043e56de4d7a1ee72981591e28	3	6	0	9	0	0	12	10	37	3	9	10	30	13	0	5
D_3__Cytophagales_D_4__Cytophagaceae$1e2aaf2a76c39de4f1534161de67b619	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
D_3__Chitinophagales_D_4__Chitinophagaceae$07971091ac232a26d8ec7a5f52807a2d	0	0	0	4	0	0	0	0	0	0	0	0	3	0	8	0
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$915bf4e5ff450fc95ea04947f7af5de2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
D_3__Obscuribacterales$a3848d93d1919c0161589fbebdc14976	0	0	0	0	0	0	0	3	0	0	0	0	8	0	6	0
D_3__Candidatus_Uhrbacteria_D_4__uncultured_bacterium$ccd6a9f22998f9c372ebbb7ee2c5919c	5	5	50	0	0	3	3	2	0	0	0	0	39	16	0	14
D_3__Flavobacteriales_D_4__Flavobacteriaceae$93166e426f706446a06f8269cec10730	0	0	0	0	0	13	0	8	0	0	20	0	0	0	0	0
$de35d0432eea3b3210d1e5a34a6563a3	0	0	0	0	0	0	0	10	0	11	0	4	0	0	0	9
D_3__Deferribacterales_D_4__Deferribacteraceae$d2cd99be3aeb1143ff8c64ba9f4f52aa	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	29
D_3__Flavobacteriales_D_4__Flavobacteriaceae$ec3285739a872a8afa902949d10f5fcb	0	4	0	4	21	0	26	0	0	0	5	0	2	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$ed5b0ff37f186601f59f89484fab4df5	0	0	0	0	0	0	7	0	0	0	0	0	0	31	0	0
$edbd501d3c2cbc7dddbd2e06484c0a1c	0	2	5	0	43	8	18	4	74	0	0	0	29	0	0	0
D_3__Cellvibrionales_D_4__Spongiibacteraceae$8ff0abe203cab117c109d01143fbad4b	0	0	0	0	0	0	8	0	0	0	0	17	0	9	3	0
D_3__Caulobacterales_D_4__Hyphomonadaceae$45b29aea83ff7683b1e29f7f3b461803	0	0	6	5	0	0	6	0	0	3	0	0	9	0	0	19
D_3__Betaproteobacteriales_D_4__SC-I-84$7bf83a9a204458a9ed53b8f630227a44	21	0	0	0	0	3	0	0	0	0	0	0	0	0	0	12
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$806de16b69a7657d0bc26eed2d00948d	0	0	0	0	0	0	0	0	0	0	0	3	4	7	0	2
D_3__Oceanospirillales_D_4__Halomonadaceae$a0616cc9bd3eeb3c6ef4a9ddf27c7ced	0	0	0	0	0	0	31	0	7	0	0	18	0	0	0	0
D_3__Thiomicrospirales_D_4__Thiomicrospiraceae$0fa8fa869d2a7b30ccab42ae140e1b59	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0
D_3__uncultured_bacterium_D_4__uncultured_bacterium$64f7b94e5b8db3ae815ed7c1cd500377	0	0	0	0	0	0	0	0	0	2	0	0	12	0	0	0
D_3__Pseudomonadales_D_4__Moraxellaceae$1e905b1cd4c8f3fced533ca1a13ec985	0	0	0	0	10	0	10	0	0	2	0	8	0	2	0	0
D_3__Cytophagales_D_4__Spirosomaceae$30ec712dda6e75af221cdfefa9ca2fdd	0	0	0	0	0	3	0	10	4	0	0	3	23	2	0	0
D_3__Microtrichales_D_4__Microtrichaceae$023268d7848297dc826e4750a03d1de0	7	5	0	0	0	0	25	10	0	0	0	6	0	0	0	0
D_3__Myxococcales_D_4__Blfdi19$156c7ac62889bde8280e29f7ced565b5	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	41
D_3__Chitinophagales_D_4__Saprospiraceae$490a4bb1d4a0530969704d781f3bd2ec	17	9	0	6	0	5	0	0	0	0	0	0	0	0	4	0
D_3__Vibrionales_D_4__Vibrionaceae$61ef15297445116fffe2198eacbaffe2	14	0	0	0	0	3	0	18	0	8	0	0	0	0	0	0
D_3__Phycisphaerales_D_4__Phycisphaeraceae$63f7b945882d73c329b9eed919baa00a	0	0	5	0	0	0	59	0	9	0	0	15	46	12	0	0
D_3__Thalassobaculales_D_4__Nisaeaceae$8345f98dde02c701494992eaf78b39ec	0	0	0	8	4	0	0	0	0	0	0	8	6	5	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$c4e0c292890e35ce8addc56ecfb87420	0	0	0	0	0	0	17	8	6	0	0	20	79	16	0	0
D_3__Holosporales_D_4__Holosporaceae$d8b1dc9266463595b4a181e7fae01754	6	9	0	4	0	4	3	0	8	0	0	0	12	0	0	0
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$42b9935507ff4e06714541dd1966c77a	21	6	0	24	0	0	0	10	0	4	0	7	0	0	0	0
D_3__Campylobacterales_D_4__Thiovulaceae$b4028160a30a0fa0cceed31720ac6162	0	6	0	9	0	10	0	32	0	23	0	39	0	45	0	17
D_3__SAR11_clade$feb3ea1045cf8b04212a240d413cb662	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0
D_3__Desulfobacterales_D_4__Desulfobulbaceae$04a34ad45b4667ad39b09567e5a94864	0	0	0	13	0	0	10	0	5	4	0	12	0	0	0	0
D_3__Corynebacteriales_D_4__Nocardiaceae$0c0a8412da9f657969b3d8af8284d002	0	0	0	0	0	3	22	0	2	0	0	5	0	0	0	0
D_3__Chitinophagales_D_4__Saprospiraceae$2aebf1517f6ee4d9f948f09a5af4c2b1	0	0	2	0	0	0	0	0	24	0	0	0	5	0	0	0
$45a22ecc519a5dd0fac48c082c0340f4	0	6	0	10	0	4	0	9	10	4	15	18	14	0	0	13
D_3__Gammaproteobacteria_Incertae_Sedis_D_4__Unknown_Family$ad2fa67d87a398b88d651f96fb72b508	0	0	2	7	0	22	0	8	0	0	0	9	0	2	0	6
D_3__Chitinophagales_D_4__Saprospiraceae$00f3928d949f950b8199c3a522e2b4dd	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
D_3__Cytophagales_D_4__Cyclobacteriaceae$baa6280483534b793f8848add0ef84fa	0	0	0	0	0	0	13	0	3	0	0	0	0	0	12	8
D_3__Rhodobacterales_D_4__Rhodobacteraceae$d8aa0e75c11ed156c33087fbada029e1	0	0	13	0	11	0	0	0	0	8	0	0	28	0	18	0
D_3__Bacteroidales_D_4__Prolixibacteraceae$18ebe796a3bb3cc8ce831b88cc415855	3	0	0	25	0	12	0	0	0	0	0	10	0	0	0	23
D_3__Verrucomicrobiales_D_4__Verrucomicrobiaceae$efda76d62a26e3f7fe3a2af5ea24bccb	0	0	0	0	0	0	0	0	0	0	0	4	24	3	0	0
D_3__Arenicellales_D_4__Arenicellaceae$447c9d4d22a87eb1b1f683ad1b651a03	0	0	0	4	0	7	0	5	0	0	0	10	0	0	0	4
D_3__Rhizobiales_D_4__Xanthobacteraceae$9596e5aef6203491f1d764f6c522ed44	0	0	0	0	0	5	11	26	0	0	7	0	0	2	0	0
D_3__Xanthomonadales_D_4__Xanthomonadaceae$a48e1e1462a5b3edf8ffb8b81933fe13	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
D_3__Bacteroidales_D_4__Marinifilaceae$c12c1aba6be37d179ecdd5ce3586f733	15	7	0	27	0	4	0	4	0	0	0	0	0	9	0	0
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$35183625c9b3c79c0131a6a2c78e972d	0	0	0	0	0	0	20	0	7	0	0	0	0	5	0	0
D_3__Desulfuromonadales_D_4__Sva1033$53f65b0a9eed939ec82fa926b8532350	0	0	5	0	0	0	0	33	0	10	0	7	0	14	0	5
D_3__Planctomycetales_D_4__Gimesiaceae$d9b5082705c7cb5e81bf004ae9c4ac50	0	0	0	0	0	0	22	0	3	0	0	0	7	0	0	0
D_3__Candidatus_Kaiserbacteria_D_4__uncultured_bacterium$e6dd403aa85a8d8d6f606111d600e987	0	0	0	0	0	4	0	7	0	0	0	4	6	4	0	2
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$030bc03d83e8856243e45b130a6a1292	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	5
D_3__Myxococcales_D_4__Eel-36e1D6$889083d24e1b480b67bab50fc037a737	0	0	0	0	0	0	0	8	0	0	0	0	0	2	0	12
D_3__Piscirickettsiales_D_4__Piscirickettsiaceae$c53a83399822b5d42d164b9467631e01	20	15	6	0	0	0	4	0	0	0	0	0	0	0	0	4
D_3__Verrucomicrobiales_D_4__Rubritaleaceae$ff865ae1f6d5f6e91213ca97a415d2d4	0	0	0	8	24	0	14	0	11	0	0	5	0	0	0	0
D_3__Thiohalorhabdales_D_4__Thiohalorhabdaceae$1d9e36366d48cb234638a8bedcbd26dc	0	0	0	0	5	0	0	0	11	0	7	0	0	0	0	0
D_3__Rhizobiales_D_4__Rhizobiaceae$206be3aedc105c3c8304bbb3c1698631	0	0	0	0	0	5	11	10	0	0	0	16	0	0	0	0
D_3__Planctomycetales_D_4__Rubinisphaeraceae$7d11496b8c41fc1e1d27a19047aee82d	0	0	0	0	0	0	10	0	0	0	0	0	13	0	0	0
D_3__Flavobacteriales_D_4__Crocinitomicaceae$7dc061157eb106e0987535224f336f69	0	0	0	0	2	21	0	0	0	0	0	0	0	0	0	0
D_3__Rhizobiales_D_4__Stappiaceae$e8dc24cf423b201a61452c605182c3b7	0	0	0	0	2	0	0	0	23	0	5	4	0	11	0	0
D_3__Alteromonadales_D_4__Psychromonadaceae$f8a3d3f39c1dab9383c2053f62bf4cb3	0	0	0	3	0	2	4	0	10	2	0	6	0	15	0	0
D_3__Cytophagales_D_4__Cyclobacteriaceae$fc66d3aaf7ba0c45014ed94403023c1d	0	0	0	0	5	0	8	0	12	0	3	3	0	18	2	0
D_3__Caulobacterales_D_4__Hyphomonadaceae$935ac0ad1448a4b75c4aff4582a24c8b	0	0	0	0	0	0	6	0	22	0	0	0	0	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$d8bc1a06f14caade83a293ecbdbd5974	0	0	0	0	3	8	20	0	4	0	0	15	0	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$ee39c7c8cfe9b512a75f539efb017817	0	0	0	0	0	0	0	0	0	0	2	0	20	0	0	0
D_3__Milano-WF1B-44$efb3e3a6e7699b057d7cb280797e99dd	0	0	0	17	0	0	9	0	0	4	0	0	0	0	0	0
D_3__Clostridiales_D_4__Ruminococcaceae$53b1608f6cbf7e5a28b95a2a61f20b22	0	0	0	3	0	3	0	3	0	0	0	9	0	0	0	5
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$874fbdf6dd9f7ebea49bf5d351aabae9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_3__Clostridiales_D_4__Family_XIII$97a1fb4c2b8170a4f7559f5986372c32	0	0	0	0	0	0	21	6	11	0	0	0	0	0	0	0
D_3__Betaproteobacteriales_D_4__Gallionellaceae$8fb5f49d64513fab3d980f2661cbe7f8	0	0	0	0	0	0	0	0	0	0	0	5	0	11	0	0
D_3__Alteromonadales_D_4__Pseudoalteromonadaceae$97c1eb9a93141714db9e62d6afa90980	0	0	0	0	0	0	0	20	0	0	0	0	0	7	0	0
D_3__Actinomarinales_D_4__uncultured$a41785ca0dd3d65ce51740d07c0509bc	0	0	0	2	0	18	0	3	0	6	0	15	0	12	0	0
D_3__Rickettsiales_D_4__Rickettsiaceae$b202cf5f20bb40ed2b320a560c83e416	0	0	0	0	0	0	0	0	0	0	0	15	0	5	0	0
D_3__Alteromonadales_D_4__Shewanellaceae$c3971af076f86903a310a1f837df7827	0	0	0	0	0	0	15	0	5	0	0	0	0	5	0	0
D_3__Solirubrobacterales_D_4__Solirubrobacteraceae$cbae09a09fe8c935b14002ad17dfbaa1	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
D_3__Flavobacteriales_D_4__Cryomorphaceae$b2b4ba4c39410ce67fbccaaede562a8d	0	11	0	0	3	0	0	0	2	0	0	0	0	0	8	0
D_3__Cellvibrionales_D_4__Halieaceae$340bff8f2ac1967d51185c35495f3698	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0
D_3__EC3_D_4__uncultured_gamma_proteobacterium$966eacf7cea458803dd34aa014594c90	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	10
D_3__Flavobacteriales_D_4__Flavobacteriaceae$b8991eb6f5db025e6be62a4946f8af9b	0	0	0	0	0	11	11	2	0	0	0	0	0	0	0	0
D_3__P.palmC41_D_4__uncultured_marine_bacterium$d714f89a6b3eb18fe030a2b0a57f7352	0	0	0	0	0	0	0	0	15	2	3	0	0	0	0	0
$119418d20f4a0cbe10f00857d0521b2c	0	0	0	0	0	0	0	0	0	5	0	3	0	9	0	0
D_3__Desulfobacterales_D_4__Desulfobulbaceae$8e5fd23daffd2fcae18a7ca5d8e74db0	0	0	0	0	0	0	10	0	7	0	0	0	0	0	0	0
D_3__Opitutales_D_4__Puniceicoccaceae$c2bfe58486b8d6b66e02cfb8d8c2ad88	17	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
D_3__Rhizobiales_D_4__Devosiaceae$08929c1cfd44414454f65e91dc03f2b8	0	0	0	0	0	0	25	0	0	0	0	0	4	2	0	0
D_3__Bacteroidales_D_4__Paludibacteraceae$231c99eee29621a35610e8e6dc558628	0	0	0	2	0	7	0	9	0	0	0	0	0	6	0	0
D_3__Clostridiales_D_4__Lachnospiraceae$32f3b704dcd05a11708f2f453837e897	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
D_3__Desulfobacterales_D_4__Desulfobacteraceae$44c3e83625b4783c0ad38fcc5bc0218f	0	0	0	0	0	0	0	6	0	0	0	15	0	0	0	8
D_3__Bacteroidales_D_4__Bacteroidetes_BD2-2$63c64cb1395a18c631461d76fde48767	0	0	0	0	0	5	0	0	0	12	0	26	0	12	0	2
D_3__Flavobacteriales_D_4__Flavobacteriaceae$68f3da3ba80629e5b2b646378f061068	0	0	0	0	0	0	8	0	0	0	0	0	7	0	0	0
D_3__Acholeplasmatales_D_4__Acholeplasmataceae$7313aa7056f3fe0ffdfa743f4aea7794	6	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
D_3__Desulfobacterales_D_4__Desulfobacteraceae$8696b8703e961e6f673b09dbc983caa4	2	0	0	15	0	0	0	0	0	6	0	18	0	4	0	2
D_3__Cytophagales_D_4__Cyclobacteriaceae$ab5151ac0a2830ba623a68e61fd98eb5	0	0	0	0	0	0	6	0	6	0	0	9	0	0	0	0
D_3__Candidatus_Falkowbacteria_D_4__Candidatus_Falkowbacteria_bacterium_RIFOXYC2_FULL_47_12$c3cff018705c9fc329d72d7356bbb6e8	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
D_3__Parvibaculales_D_4__Parvibaculaceae$d24ea7d87e2d3eddd48e4610931457b6	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	9
D_3__Caulobacterales_D_4__Hyphomonadaceae$d90af630ec47365b9d4ca2985dcf6d98	0	0	0	0	0	0	6	0	6	0	0	0	0	9	0	0
D_3__Rhodospirillales_D_4__Terasakiellaceae$f76631adf89f26dd4132fd5e257fff92	0	0	0	2	0	0	0	0	0	0	0	15	0	4	0	0
D_3__Desulfobacterales_D_4__Desulfobacteraceae$05f40491eea119253a884116207c82d8	5	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0
D_3__Desulfobacterales_D_4__Desulfobacteraceae$1979daeb5331cc5a535eff4fe390c8d9	0	0	0	0	0	0	0	0	0	0	0	19	0	4	0	0
D_3__Cellvibrionales_D_4__Halieaceae$4c89c0fe87ba819e53217ac4b8abcce7	0	0	0	11	0	0	0	14	0	0	0	0	0	0	0	0
D_3__Cellvibrionales_D_4__Cellvibrionaceae$6b765ef0f3c96ffbd3ad4a0b30d078a7	0	0	0	0	14	0	3	0	10	0	0	4	5	0	0	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$c128c0992a91f09fd27d8281b68d1d4e	0	0	0	0	0	0	14	0	0	0	7	0	0	0	7	0
D_3__Pirellulales_D_4__Pirellulaceae$0319d1b804fda46a710f397c9d6776bf	0	3	0	0	0	0	0	6	0	0	0	9	7	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$2f7e0db7bc51ded75d155abde25a8bb3	0	0	0	3	0	10	0	0	0	0	0	7	0	8	0	0
D_3__Clostridiales_D_4__Clostridiales_vadinBB60_group$51cff8db7349e4e9d0047d2e57ea4875	0	0	0	0	0	0	6	0	0	0	7	0	7	0	0	0
D_3__Lactobacillales_D_4__Streptococcaceae$525a96416073a6494d754274284d5f33	0	0	0	7	0	0	0	4	0	5	0	3	4	0	0	0
D_3__Chitinophagales_D_4__Saprospiraceae$780c1f54a01960aa56e97637877e2529	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
D_3__Puniceispirillales_D_4__Puniceispirillales_Incertae_Sedis$7a2f7ac49c4560515aed1b898c14d4ee	0	0	0	0	0	0	13	0	0	0	0	0	2	0	0	0
D_3__Rhizobiales_D_4__Xanthobacteraceae$cbdab60eea17272bf26f350c827f46e1	0	0	0	0	0	0	0	0	0	0	3	10	0	0	0	0
D_3__Alteromonadales_D_4__Pseudoalteromonadaceae$dd12379fe129519466a9c17fc6343d58	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0
D_3__Nostocales_D_4__Phormidiaceae$e2ffa8dbb86b10da0f31f41d2c4d5001	0	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0
D_3__Alteromonadales_D_4__Alteromonadaceae$133eb6f0d0420b5e51cbed5dd85da2cd	0	0	0	0	0	0	3	0	0	0	3	0	0	12	0	0
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$186786473c83616e5b70322e98c51483	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
D_3__Desulfuromonadales_D_4__Desulfuromonadaceae$2dc3bdc2adab64670e67c2da9765d5b5	0	0	0	0	0	5	12	0	0	0	0	0	0	0	0	3
D_3__Spirochaetales_D_4__Spirochaetaceae$b7de566d1df8a5940f81ebb21c1ee7c3	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
$cc3d9224b264941bd5e97580f24b0ffc	7	0	0	0	0	0	0	3	0	0	0	2	0	0	7	0
D_3__Rhizobiales_D_4__Rhizobiaceae$074e900346fb889e613ea6b295321fde	0	0	0	8	0	2	7	0	0	0	3	11	6	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$1d0053a845bd3e976bcaab0241461406	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
D_3__JTB23$54d09f53e89b5e092c3adcb5769ee7e8	5	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$57bbd2a5804150e364e1c873216bd3fc	0	0	0	0	0	0	0	11	3	0	2	6	5	0	0	0
D_3__Myxococcales_D_4__Sandaracinaceae$68fdbed0e9d571eecae72425ca613f5a	0	2	0	0	0	0	0	0	0	2	0	7	0	0	0	9
D_3__Flavobacteriales_D_4__Flavobacteriaceae$7cee65b721afd59284b00dd07468f0e5	0	0	0	0	0	0	11	0	0	0	0	3	0	0	0	0
D_3__Parvibaculales_D_4__uncultured$87db70ebe5777152de90bc395ac5a964	0	0	0	0	0	0	0	0	5	0	3	5	0	3	0	0
D_3__Opitutales_D_4__Puniceicoccaceae$ac75be1530b58c755b5dbc6de65f710f	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
D_3__Rhizobiales_D_4__Rhizobiaceae$b8b743a7939b372858daa508e73ebeed	0	0	0	0	0	3	0	0	8	0	0	0	0	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$bee9c093a545bd17005d6beace88a321	3	0	0	0	0	9	0	16	0	0	0	0	5	0	0	5
D_3__Bacteroidales_D_4__Marinilabiliaceae$d9104b45210fb37d6a55a2f022ea1bdf	0	3	0	4	0	3	0	2	0	4	0	0	0	0	0	6
D_3__Flavobacteriales_D_4__Flavobacteriaceae$eb9eb3ed1d39dd85d63c04ae4e489f93	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$acb164a38f87834b099070cc8edf9ee6	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0
D_3__Clostridiales$e564319cb8760972c3e753727cfa8b55	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$07f6b8b3a0015820fbaacd5cdd4eb43d	0	0	9	0	0	0	6	0	0	0	0	2	0	0	0	0
D_3__Flavobacteriales_D_4__Weeksellaceae$0d247c8f8647fe246d5199122431758b	0	0	0	0	0	0	0	9	0	0	0	2	0	0	2	0
