#OTUID	KOSMOS.D1.M1BS	KOSMOS.D1.MPBS	KOSMOS.D15.M1AS	KOSMOS.D15.MPAS	KOSMOS.D24.M1A	KOSMOS.D24.MPAS	KOSMOS.D32.M1AS	KOSMOS.D32.MPAS	KOSMOS.D36.M1AS	KOSMOS.D36.MPAS	KOSMOS.D42.M1AS	KOSMOS.D42.MPAS	KOSMOS.D48.M1AS	KOSMOS.D48.MPAS	KOSMOS.D8.M1AS	KOSMOS.D8.MPAS
D_3__Sphingomonadales_D_4__Sphingomonadaceae$b8c8305231a3ef671d95072c180fdf97	0	2	361	141	863	1292	2039	2834	1207	811	457	2050	1047	642	22	0
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$968245fdb3c5ee3a17099269457e5cd4	0	0	28	8	0	0	0	9	0	0	0	0	12	13	88	235
D_3__Rhodobacterales_D_4__Rhodobacteraceae$5a1835cd9ff41a02570aff164c19c7a8	0	0	0	0	12	5177	0	1751	0	0	100	24	0	8	0	7
D_3__Nitrospinales_D_4__Nitrospinaceae$f95b8514cb06df776c13f10d2022759d	84	145	130	73	0	12	12	312	0	78	0	110	0	164	35	1330
D_3__SAR11_clade_D_4__Clade_II$b36b27a154d85cc300f0a1309e9534d5	1675	1050	788	1599	1277	1874	1178	2739	893	746	497	1814	840	1374	311	1560
D_3__Flavobacteriales_D_4__NS9_marine_group$69dfae1be25dc470c35ca5d85dd53f94	2904	2696	3468	3002	5638	3905	1567	2664	2400	2521	4168	4025	3159	5319	1485	3177
D_3__Flavobacteriales_D_4__Flavobacteriaceae$34538ec193c0d16e24a471285d720f05	0	0	0	12	623	4097	511	1879	98	84	72	216	2	4	0	0
D_3__Flavobacteriales_D_4__NS7_marine_group$42037215dd97865bd8d857b6a2d97dc8	755	687	385	330	909	407	750	913	216	208	379	353	81	598	2630	536
D_3__Synechococcales_D_4__Cyanobiaceae$d702f8824185524798e6fd644b0743a4	61	191	57	309	29	21	33	88	25	57	0	286	11	145	25	2577
D_3__Nitrosococcales_D_4__Methylophagaceae$380e00c956b387490d0d22cf7e654f7a	33	61	1718	70	1840	53	890	185	865	160	3163	82	1871	57	331	23
D_3__Phycisphaerales_D_4__Phycisphaeraceae$aadbfa4b0e9c63ac92ca592fde1c054c	268	336	541	472	146	481	82	885	13	290	13	355	49	465	53	595
D_3__Rhodothermales_D_4__Rhodothermaceae$e09a56fd2063b4e22396d74ecc319cd8	203	238	128	364	39	182	74	606	8	148	3	507	0	794	53	724
