#OTUID	Kingdom	Supergroup	Phylum	Class	Subclass	Order	Suborder	Family	Genus	Species
bda174380b89c8dafb8a61126ad57210	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales				
8b1ca5c7eda7f9278a28edd834c461be	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Dictyochophyceae_XX	Dictyochophyceae_XXX	Dictyochophyceae_XXXX	Dictyochophyceae_XXXXX	Dictyochophyceae_XXXXX
35c7ac712d7bfb9eded614644fdd5eab	Eukaryota	Stramenopiles	Ochrophyta							
7ef9ef0f1d7fc89f3fa1d17d92b4e6d8	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales				
4b45e0fc6276ae0245aea2cf6c2de70e	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiophycidae_X	Prymnesiales	Prymnesiales_X	Chrysochromulinaceae	Chrysochromulinaceae_X	Chrysochromulinaceae_X
21379a9416c7659533efc5735cde259e	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Dictyochophyceae_XX	Dictyochophyceae_XXX	Dictyochophyceae_XXXX	Dictyochophyceae_XXXXX	Dictyochophyceae_XXXXX
20d8843bf7213e7bf6592cdb191a9e96	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Pyrenomonadales	Pyrenomonadales_X	Pyrenomonadales_XX	Pyrenomonadales_XXX	Pyrenomonadales_XXX
6d4b1a66b11c7dca0cc75dbfcb3e3043	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae					
e6794d71335fe9c08483e2d87506ab80	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosirales_X			
9ca3ba7165b71dfa75647c347b1aa034	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales				
92c99a76c83d47c4ed1259c807985355	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosirales_X	Skeletonemataceae		
ab985cf0ad0420c1a343fbc97ce8f698	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Dictyochophyceae_XX	Dictyochophyceae_XXX	Dictyochophyceae_XXXX	Dictyochophyceae_XXXXX	Dictyochophyceae_XXXXX
