#OTUID	KOSMOS.D1.M1BS	KOSMOS.D1.MPBS	KOSMOS.D15.DW2	KOSMOS.D15.M1AS	KOSMOS.D15.MPAS	KOSMOS.D24.M1A	KOSMOS.D24.MPAS	KOSMOS.D3.control1	KOSMOS.D3.control2	KOSMOS.D32.M1AS	KOSMOS.D32.MPAS	KOSMOS.D36.M1AS	KOSMOS.D36.MPAS	KOSMOS.D42.M1AS	KOSMOS.D42.MPAS	KOSMOS.D48.M1AS	KOSMOS.D48.MPAS	KOSMOS.D8.DW1	KOSMOS.D8.DW2	KOSMOS.D8.M1AS	KOSMOS.D8.MPAS
5ac9e1e1f137a918ebee250fbe0d856a	0	0	0	0	0	0	15	0	0	0	41	0	14	0	0	0	0	0	0	0	0
836c8649bf9c3e71c1fecea4f98ece34	6	0	0	9	0	0	0	0	0	0	5	0	0	0	15	0	12	0	22	0	0
9ce5610a06f1105885cf685ed73f5a73	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0
af4ff5b85aaf32da9bd50107fcdc75e9	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22f0e8a61441d36d0727b04f15253ab0	0	0	0	0	0	0	0	0	0	11	28	0	0	0	0	30	0	0	0	0	0
04c08a164d96e07367d93b0dc773e861	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8751e2920100fe9f560be4345ab4c8f8	5	9	0	0	11	0	0	0	15	0	3	0	0	0	9	0	9	0	0	4	0
9eb750f3e4804bdff6cc665113bdd039	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	11
fc253b74f104e63cb6a394122ab281a4	0	0	0	0	0	0	9	0	0	0	55	0	0	0	0	0	0	0	0	0	0
78219dcf33c2afdd99e4a8415a446671	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0
f83bf7d8c69bbd4ac60a0a269192e139	0	0	0	0	0	0	0	0	0	28	0	25	0	0	0	0	0	0	0	10	0
a3e34c2f2e7f82059db4c692a3a00005	21	0	0	0	0	0	20	0	0	0	15	0	0	0	0	0	0	0	0	5	0
00cd1bef5a53b8e7548c39a3ddef1846	7	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0
07be4271cb7f8a8b37e63efe6b39d245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0
4244586faf3a126030cffb1edd2f4596	0	30	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c250a4a4c9c26bc3252480bbfa1dc2e9	26	0	0	0	5	0	11	0	0	0	0	0	0	0	8	0	0	0	0	0	0
8a6c94726c0780da709f413ba6a92c91	25	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
52dfe2f289832be5352278fabd930121	0	0	0	0	0	0	0	0	0	17	0	32	0	0	0	0	0	0	0	0	0
3e9ecb1735f5d68b8fe25e8346e8f6c6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	25	0	0	0	0
c01e132af0927fa3af560ab87826436e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0
e63fe703fb79408e5bc38e35b928ae07	8	28	0	0	7	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c1c7f98b129e96e27024c41cb6677824	0	0	0	0	0	0	0	0	0	0	0	0	10	0	38	0	0	0	0	0	0
ae128825e2a254c0e6e60440be0d60c5	0	0	0	14	0	15	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
73447270516e4c6c9089dd7227df6d81	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4e268ddf24ec1fa04c1dd692269886e3	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0
05295a623bd93c89172bac548f81dd0d	0	0	0	0	0	0	0	0	0	0	6	0	0	0	27	0	12	0	0	0	0
9a006ffb0fd2db6f518185d6ca770e96	9	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b42587c4235fcd2509ee46ae5e96482b	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b93769465a31e0b07172d735f3cfb75a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0
8805982a8fd5b49a9374b233259d6614	0	0	0	10	0	0	0	0	0	6	25	0	0	0	0	0	0	0	0	0	0
e30e925bba5c1213fd642219f7195146	9	13	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
fef42a3804ad156ee914c38473802bf2	5	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9f96d461e5016b352947477c1e4b5fdb	0	0	0	0	11	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5b327a7c9d4e86208854efdac5c5e904	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
e6b1fb29ff6ab2a176ec3c4c4291af6e	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	22	0	0	0	0	0
a9a5714516b1b4a7b695b352c0f8d005	0	0	0	14	11	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
25fc71725ccdefad9eb31a493c41ad7f	8	15	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d4cde7c8aab977d63ff1f4896b8ec250	0	5	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0
0421d6265cef7d012369a34b08c521d5	4	0	0	0	5	0	15	0	0	0	5	0	0	0	0	0	0	0	0	0	4
4997cfb8098ecb240a80d3fb04b939b4	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0
920810b5d4941fb06277a031cc009b34	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0
e626ce83a4ef6211f7c3a38a32174527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	25
ad3f9f7d7bab2d682468cb352991974e	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
af23f68e2a4f7c7125e08f4807b87bb4	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	13
45857c728fe38e208e256fecaab106c0	7	0	0	0	0	0	0	0	0	0	16	0	7	0	0	0	0	0	0	0	0
2706672a7d95549b276db69fb222214c	0	0	0	0	0	0	0	0	0	15	0	7	0	8	0	0	0	0	0	0	0
a3e0e651c5b47ed373fbb26e4fe16fa0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
7a4211e72b091cfc4aed3cfcabd73ea8	0	0	0	0	0	0	24	0	0	0	5	0	0	0	0	0	0	0	0	0	0
e9a7e85b7b2017576c46d9550e3aeb93	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
af3512e86eeeef7c71a0d0265b5cfb14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0
7feecdf794cf86899fa740ee7a86d0a0	0	0	0	6	0	0	0	0	0	7	7	0	0	0	0	0	0	6	0	0	0
de05c74f1a4741be8ed2874fe5013187	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0
ecc9ab50c1e53ad9c8b3cf46c211cde8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0
bf8fa14a9e14b25075870e155112acd4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0
b2b8843694b92ef65714bfacdc593463	0	0	0	0	0	0	0	0	0	16	0	0	0	9	0	0	0	0	0	0	0
8bd5f3b13310e519562ac945e593d046	0	0	0	0	0	0	0	0	0	0	8	0	0	0	8	0	9	0	0	0	0
653689c0090cd499534548cb2ac92fde	0	0	0	0	0	0	0	0	0	0	5	0	5	0	15	0	0	0	0	0	0
6f73a0104c73f914320af81ee7f4cfe5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
ba1e4c3a8b2a4f6055a3ef8afbe6eb25	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96d05115b55b14bdaba6d9abdf277e5c	0	0	0	0	0	0	0	0	0	12	0	10	0	0	0	0	0	0	0	0	0
ad6b9c1c869d82b088e4e389d07cc023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
78d07a90a11a39d424eb006cc69f6ed3	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	7	0	0	0	0
33b8707637d13b242b33aa6727506dc8	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0
d1d617586d9d4213ec65a1bb3a1d527a	0	0	0	0	0	0	0	0	0	0	0	11	0	10	0	0	0	0	0	0	0
7e10d2767fcac1cebd50e4c0afb42a61	13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88f6e433e66125716d2f27021bbdfe6a	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2452d8574651d1741f591cce63d64c43	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	5
a2e804ee2e3594a1778decd4dba11534	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fc3e6dd3bb525cff410cd562877bcb06	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10158f75e32c860722f29ac536c5d579	0	0	0	0	0	13	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
58cfa22827f8e57bc959f64621e8cd2f	0	0	0	5	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23a6dc97fccc14c5f2c63e2d7e5842b7	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1a3084b5ea6cbf31ab824f7a7f918b48	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1017a9bacb76c79a76a4daab04e133d	0	6	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
