asv,KOSMOS-D1-M1BS,KOSMOS-D1-MPBS,KOSMOS-D15-DW2,KOSMOS-D15-M1AS,KOSMOS-D15-MPAS,KOSMOS-D24-M1A,KOSMOS-D24-MPAS,KOSMOS-D3-control1,KOSMOS-D3-control2,KOSMOS-D32-M1AS,KOSMOS-D32-MPAS,KOSMOS-D36-M1AS,KOSMOS-D36-MPAS,KOSMOS-D42-M1AS,KOSMOS-D42-MPAS,KOSMOS-D48-M1AS,KOSMOS-D48-MPAS,KOSMOS-D8-DW1,KOSMOS-D8-DW2,KOSMOS-D8-M1AS,KOSMOS-D8-MPAS,taxonomy
f29545de7bf83891da9d1c89b2e0675d,227,173,14,3581,193,1075,518,0,0,237,276,717,481,1532,750,223,533,22,11,1795,160,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade
e54914e1b614e928466a259407d36532,40,156,3539,117,64,0,715,0,15,246,347,120,13,121,56,6543,12,45,100,24,10,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae
ddc47ace3935a3196f1c83e29b916812,307,424,168,83,49,97,83,34,0,122,65,113,19,167,118,9039,164,58,2,10,193,Unassigned
b054c334dedcfeff525005a03333e0c5,4,0,0,10013,91,61,35,0,0,20,732,9,42,0,54,3,77,5,0,8,4,Unassigned
9c3e648927a2024eec07e27b3a3e2393,0,0,0,252,65,16,43,10403,273,0,8,4,10,0,42,0,5,0,0,14,12,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingomonas;Ambiguous_taxa
486ad728b6e1331ad96dbed64701be9b,916,479,967,113,279,376,1996,0,0,286,550,185,410,54,1732,309,961,122,0,74,781,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Cryomorphaceae;D_5__uncultured;D_6__uncultured bacterium
b2c4f9c1885b68975043b0cddc5b94f5,5013,2442,0,60,580,97,197,44,0,0,285,0,685,0,215,0,188,78,20,113,416,D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Synechococcus CC9902
350e1f9238dd5bce5236dba4bb54df38,343,571,73,131,66,948,133,83,11,497,210,1260,116,1412,72,3534,61,34,17,236,625,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Crocinitomicaceae;D_5__Fluviicola;D_6__uncultured bacterium
f836e78a00d45f7e7f238458f39f3185,28,103,9,49,102,114,15,0,0,284,8,611,13,579,0,8091,0,0,0,24,85,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Winogradskyella;Ambiguous_taxa
b46f8d5891ab1ed123fa3f597ae9f36c,4,0,2035,4666,0,176,0,0,0,1071,14,812,13,145,0,165,0,937,53,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae
60c7e634299f7600b52e6fc1dee00fec,4083,1742,35,88,68,0,833,36,0,0,386,0,33,8,1463,18,907,39,14,0,270,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Saprospiraceae
31b26013281eca9110cd4e6ee0b5c473,0,0,0,0,0,0,0,328,9578,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned
647bae126bf01b7aec76872b6f2ab44b,2404,1585,77,79,2313,121,510,50,0,30,325,0,190,0,174,4,85,236,22,27,1601,D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Actinomarinales;D_4__Actinomarinaceae;D_5__Candidatus Actinomarina
580f47a9e948218fd800fc2937720eea,0,0,72,0,0,28,0,0,0,189,8,759,34,7131,17,1333,11,0,6,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Rhizobiaceae;D_5__Lentilitoribacter;D_6__uncultured bacterium
4d5eb8e3ba56f0cb9945455d08ae0a60,63,76,1532,464,263,44,221,0,4,1462,248,1265,34,358,188,315,115,1850,992,17,46,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae
003a3dfc759cdc2e62d7bdb3e0b5a501,2421,2862,405,73,381,0,1466,791,34,9,190,4,23,0,194,265,119,56,15,91,154,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Saprospiraceae;D_5__Lewinella
8faa91e7766e3e88b6eba33f49a6a3de,4171,2340,34,233,390,170,145,209,63,16,276,0,352,0,216,0,145,152,0,284,342,D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Synechococcus CC9902
e69263d54352749060fae5725791bfc6,853,542,396,794,848,166,993,0,0,0,296,0,729,113,1079,250,595,91,0,1153,577,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__HIMB11
c59e12d055d861494ffd6d6fad1ba491,1918,1251,74,103,1507,13,445,17,10,0,527,7,772,0,350,0,337,422,26,83,1547,D_0__Bacteria;D_1__Marinimicrobia (SAR406 clade)
947b4bfd7550cd6347ed7ca543924c2f,29,61,51,62,43,109,62,263,61,3146,59,3522,23,914,40,415,64,132,135,90,91,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Lutimonas
88b670b797a0d804d7cdc822066119b4,0,0,0,492,253,938,0,0,0,107,0,981,51,4139,371,1352,191,0,0,443,0,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae
4d660ac7dcf39f26db683d2310fca01d,0,0,18,114,103,226,6228,0,0,541,1230,273,129,72,218,21,70,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Erythrobacter
02ebc9e2294109abe2666165e6007aa4,0,0,0,0,0,0,0,7576,1494,0,0,0,2,0,0,0,0,20,0,0,117,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Ralstonia
bb7f55b1c5aa1a254fff3b5168f98e7e,0,18,23,521,164,2262,75,0,0,673,125,757,175,2856,638,115,162,0,0,614,26,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae
3a85b5736cfb89c413cb6dcfc16c5acc,168,118,17,213,198,715,363,0,0,889,97,1572,133,2644,57,1273,277,47,17,34,323,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Litoricolaceae;D_5__Litoricola
f4adf38bdf97f67f6c0205656de99b72,63,51,0,344,109,845,206,0,0,321,360,468,562,569,1534,396,773,0,0,2128,56,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Polaribacter 3
7e04a3c2a5251dea326d371a02b674e3,52,65,57,116,103,15,50,5,0,500,234,702,200,384,105,48,419,1332,3943,0,308,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Lutibacter
bd1c3e4e13d0df6e59887d51157aa5b8,70,135,0,0,374,2929,424,0,0,371,809,430,336,273,433,916,566,0,0,0,273,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Crocinitomicaceae;D_5__Fluviicola
4897fa9c5685d6c8f0ac86f531cf84d3,0,0,6,253,264,321,5416,9,0,238,1096,147,123,31,128,27,41,0,0,11,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Acinetobacter
c7c72f5c8fdfc2e2f0e20a286c0e3448,353,274,140,19,105,0,157,0,60,0,94,11,10,61,33,6390,42,96,0,8,224,Unassigned
89c968deaad98820d7c2912103276151,351,331,4458,70,553,0,574,0,177,45,348,17,43,4,417,0,235,228,6,47,167,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae
629b14176131f1cd9c3425df5a1da0fe,100,76,0,132,136,0,3326,0,0,0,672,0,211,0,440,0,293,9,3,2378,286,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Maritimimonas;D_6__uncultured bacterium
82b64eb463c416cabd5ceae001244f43,728,690,0,461,583,1090,465,0,0,342,418,336,577,126,444,176,459,33,37,551,469,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Halieaceae;D_5__OM60(NOR5) clade;D_6__uncultured bacterium
23383d3a96f4263752a17b18fec7b9ce,6,0,180,28,0,0,0,1096,49,0,0,0,0,0,0,0,0,1557,5025,10,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Saccharospirillaceae;D_5__uncultured
29fbc691efd3ed11573ce7291b256b4e,477,395,11,999,320,1393,379,0,0,403,561,273,493,229,327,306,311,97,0,685,285,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Halieaceae;D_5__OM60(NOR5) clade
